committee,term_office1,meeting_id,subject,topic,person,affiliation,entity,abbreviation,NGO,c_industry,c_employers,c_trade,c_company,c_research,c_gov,c_parliament,c_public,c_autonomy,c_lobbyst,c_state,c_parks,c_foreign,c_other
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Maria Pokora, doradca techniczny w Najwyższej Izbie Kontroli ,Najwyższa Izba Kontroli,NIK,,,,,,,,,1,,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Krzysztof Karasiewicz, dyrektor Departamentu Przedsięwzięć w Narodowym Funduszu Ochrony Środowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej ,NFOŚiGW,,,,,,,,1,,,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Waldemar Chachulski, burmistrz miasta Sulejówek. ,,,,,,,,,,,,1,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Marek Jońca, burmistrz miasta i gminy Koprzywnica ,,,,,,,,,,,,1,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Szymon Kołacz, wójt gminy Łoniów ,,,,,,,,,,,,1,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Krzysztof Krzystanek, zastępca burmistrza miasta Sandomierz ,,,,,,,,,,,,1,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Mirosław Wieczorek, - zastępcy burmistrza miasta i gminy Busko Zdrój ,,,,,,,,,,,,1,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Grzegorz Lasak, - zastępcy burmistrza miasta i gminy Busko Zdrój ,,,,,,,,,,,,1,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Marek Krak, przedstawiciele Związku Gmin Gór Świętokrzyskich ,Związek Gmin Gór Świętokrzyskich,,1,,,,,,,,,1,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Krzysztof Gajewski, przedstawiciele Związku Gmin Gór Świętokrzyskich ,Związek Gmin Gór Świętokrzyskich,,1,,,,,,,,,1,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Marek Nowakowski, przedstawiciele Związku Gmin Gór Świętokrzyskich ,Związek Gmin Gór Świętokrzyskich,,1,,,,,,,,,1,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Sławomir Kopacz, wójt gminy Bieliny ,,,,,,,,,,,,1,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Tadeusz Bałchanowski, burmistrz miasta i gminy Suchedniów ,,,,,,,,,,,,1,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Włodzimierz Badura, burmistrz miasta i gminy Pińczów wraz ze współpracownikiem ,,,,,,,,,,,,1,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Lech Sędek, zastępca wójta gminy Mińsk Mazowiecki ,,,,,,,,,,,,1,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Marek Kuchna, zastępca wójta gminy Morawica ,,,,,,,,,,,,1,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Andrzej Iskra ,burmistrz miasta i gminy Staszów wraz ze współpracownikiem ,,,,,,,,,,,,1,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Tadeusz Jewiarz, zastępca wójta gminy Tuczępy ,,,,,,,,,,,,1,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Jarosław Wolczyński, prezydent miasta Ostrowiec Świękokrzyski wraz ze współpracownikiem ,,,,,,,,,,,,1,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Stefan Traczyk, wójt gminy Celestynów ,,,,,,,,,,,,1,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Marek Szmuc, - członek zarządu Kopalni Siarki 'Machów' SA w Tarnobrzegu ,Kopalnia Siarki Machów SA w Tarnobrzegu,,,,,,1,,,,,,,1,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Robert Stachowicz, przewodniczący zarządu Zakładu Gospodarki Odpadami Komunalnymi w Rzędowie ,,,,,,,1,,,,,,,1,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Władysław Skalny, prezes Ligi Ochrony Przyrody   ,Liga Ochrony Przyrody,LOP,1,,,,,,,,,,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Bohdan Szymański, członek zarządu głównego Polskiego Klubu Ekologicznego.,Polski Klub Ekologiczny,PKE,1,,,,,,,,,,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Krystyna Pająk, - z sekretariatu Komisji w Biurze Komisji Sejmowych; ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Bogusława Kram, - z sekretariatu Komisji w Biurze Komisji Sejmowych; ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Tomasz Jaroszyński, - legislator z Biura Legislacyjnego   ,Biuro Legislacyjne,,,,,,,,,1,,,,,,,
OSZ,VI,7,  - wyjaśnienie przez przedstawicieli Rządu RP spraw  związanych z zapowiadanymi zmianami na listach indykatywnych  projektów kluczowych;   - sprawy bieżące.  ,,Mirosław Sobolewski, - specjalista z Biura Analiz Sejmowych.,Biuro Analiz Sejmowych,,,,,,,,,1,,,,,,,
OSZ,VI,8,"  - przeprowadziła pierwsze czytanie rządowego projektu ustawy o odpadach wydobywczych (druk nr 217),   - rozpatrzyła informację o realizacji Krajowego Programu Oczyszczania Ścieków Komunalnych w 2006 r.,   - sprawy bieżące. ",,Henryk Jacek Jezierski ,podsekretarz stanu w Ministerstwie Środowiska główny geolog kraju wraz ze współpracownikami ,Ministerstwo Środowiska,MŚ,,,,,,,1,,,,,,,,
OSZ,VI,8,"  - przeprowadziła pierwsze czytanie rządowego projektu ustawy o odpadach wydobywczych (druk nr 217),   - rozpatrzyła informację o realizacji Krajowego Programu Oczyszczania Ścieków Komunalnych w 2006 r.,   - sprawy bieżące. ",,Andrzej Sadurski ,prezes Krajowego Zarządu Gospodarki Wodnej wraz ze współpracownikami ,Krajowa Rada Gospodarki Wodnej,KZGW,,,,,,,,,1,,,,,,
OSZ,VI,8,"  - przeprowadziła pierwsze czytanie rządowego projektu ustawy o odpadach wydobywczych (druk nr 217),   - rozpatrzyła informację o realizacji Krajowego Programu Oczyszczania Ścieków Komunalnych w 2006 r.,   - sprawy bieżące. ",,Małgorzata Skucha ,zastępca prezesa Zarządu Narodowego Funduszu Ochrony Środowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej ,NFOŚiGW,,,,,,,,,1,,,,,,
OSZ,VI,8,"  - przeprowadziła pierwsze czytanie rządowego projektu ustawy o odpadach wydobywczych (druk nr 217),   - rozpatrzyła informację o realizacji Krajowego Programu Oczyszczania Ścieków Komunalnych w 2006 r.,   - sprawy bieżące. ",,Bohdan Szymański, członek zarządu Głównego Polskiego Klubu Ekologicznego ,Polski Klub Ekologiczny,PKE,1,,,,,,1,,,,,,,,
OSZ,VI,8,"  - przeprowadziła pierwsze czytanie rządowego projektu ustawy o odpadach wydobywczych (druk nr 217),   - rozpatrzyła informację o realizacji Krajowego Programu Oczyszczania Ścieków Komunalnych w 2006 r.,   - sprawy bieżące. ",,,przedstawiciele Ministerstwa Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
OSZ,VI,8,"  - przeprowadziła pierwsze czytanie rządowego projektu ustawy o odpadach wydobywczych (druk nr 217),   - rozpatrzyła informację o realizacji Krajowego Programu Oczyszczania Ścieków Komunalnych w 2006 r.,   - sprawy bieżące. ",,,przedstawiciele Ministerstwa Infrastruktury ,Ministerstwo Infrastruktury,MI,,,,,,,1,,,,,,,,
OSZ,VI,8,"  - przeprowadziła pierwsze czytanie rządowego projektu ustawy o odpadach wydobywczych (druk nr 217),   - rozpatrzyła informację o realizacji Krajowego Programu Oczyszczania Ścieków Komunalnych w 2006 r.,   - sprawy bieżące. ",,,Najwyższej Izby Kontroli ,Najwyższa Izba Kontroli,NIK,,,,,,,,,1,,,,,,
OSZ,VI,8,"  - przeprowadziła pierwsze czytanie rządowego projektu ustawy o odpadach wydobywczych (druk nr 217),   - rozpatrzyła informację o realizacji Krajowego Programu Oczyszczania Ścieków Komunalnych w 2006 r.,   - sprawy bieżące. ",,,Wyższego Urzędu Górniczego.,WUG,WUG,,,,,,,,,1,,,,,,
OSZ,VI,8,"  - przeprowadziła pierwsze czytanie rządowego projektu ustawy o odpadach wydobywczych (druk nr 217),   - rozpatrzyła informację o realizacji Krajowego Programu Oczyszczania Ścieków Komunalnych w 2006 r.,   - sprawy bieżące. ",,Bogusława Kram, - z sekretariatu Komisji w Biurze Komisji Sejmowych; ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
OSZ,VI,8,"  - przeprowadziła pierwsze czytanie rządowego projektu ustawy o odpadach wydobywczych (druk nr 217),   - rozpatrzyła informację o realizacji Krajowego Programu Oczyszczania Ścieków Komunalnych w 2006 r.,   - sprawy bieżące. ",,Krystyna Pająk, - z sekretariatu Komisji w Biurze Komisji Sejmowych; ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
OSZ,VI,8,"  - przeprowadziła pierwsze czytanie rządowego projektu ustawy o odpadach wydobywczych (druk nr 217),   - rozpatrzyła informację o realizacji Krajowego Programu Oczyszczania Ścieków Komunalnych w 2006 r.,   - sprawy bieżące. ",,Magdalena Klorek, - legislatorzy z Biura Legislacyjnego. ,Biuro Legislacyjne,,,,,,,,,1,,,,,,,
OSZ,VI,8,"  - przeprowadziła pierwsze czytanie rządowego projektu ustawy o odpadach wydobywczych (druk nr 217),   - rozpatrzyła informację o realizacji Krajowego Programu Oczyszczania Ścieków Komunalnych w 2006 r.,   - sprawy bieżące. ",,Ida Reykowska, - legislatorzy z Biura Legislacyjnego. ,Biuro Legislacyjne,,,,,,,,,1,,,,,,,
OSZ,VI,9,  - powołanie podkomisji do rozpatrzenia rządowego projektu ustawy o odpadach wydobywczych (druk nr 217);   - przyjęcie dezyderatu nr 1 w sprawie realizacji zobowiązań traktatowych Polski w zakresie oczyszczania ścieków komunalnych;   - rozpatrzenie informacji przygotowanych w Ministerstwie Środowiska  oraz w Ministerstwie Rozwoju Regionalnego na temat przeglądu programów unijnych służących ochronie środowiska;   - rozpatrzenie informacji na temat stopnia realizacji postanowień traktatu akcesyjnego w dziedzinie dyrektyw dotyczących programu Natura 2000;   - sprawy bieżące.  ,,Janusz Mikuła, podsekretarz stanu w Ministerstwie Rozwoju Regionalnego wraz ze współpracownikami ,Ministerstwo Rozwoju Regionalnego,MRR,,,,,,,1,,,,,,,,
OSZ,VI,9,  - powołanie podkomisji do rozpatrzenia rządowego projektu ustawy o odpadach wydobywczych (druk nr 217);   - przyjęcie dezyderatu nr 1 w sprawie realizacji zobowiązań traktatowych Polski w zakresie oczyszczania ścieków komunalnych;   - rozpatrzenie informacji przygotowanych w Ministerstwie Środowiska  oraz w Ministerstwie Rozwoju Regionalnego na temat przeglądu programów unijnych służących ochronie środowiska;   - rozpatrzenie informacji na temat stopnia realizacji postanowień traktatu akcesyjnego w dziedzinie dyrektyw dotyczących programu Natura 2000;   - sprawy bieżące.  ,,Maciej Trzeciak, podsekretarz stanu w Ministerstwie Środowiska wraz ze współpracownikami ,Ministerstwo Środowiska,MŚ,,,,,,,1,,,,,,,,
OSZ,VI,9,  - powołanie podkomisji do rozpatrzenia rządowego projektu ustawy o odpadach wydobywczych (druk nr 217);   - przyjęcie dezyderatu nr 1 w sprawie realizacji zobowiązań traktatowych Polski w zakresie oczyszczania ścieków komunalnych;   - rozpatrzenie informacji przygotowanych w Ministerstwie Środowiska  oraz w Ministerstwie Rozwoju Regionalnego na temat przeglądu programów unijnych służących ochronie środowiska;   - rozpatrzenie informacji na temat stopnia realizacji postanowień traktatu akcesyjnego w dziedzinie dyrektyw dotyczących programu Natura 2000;   - sprawy bieżące.  ,,Wojciech Skurkiewicz, senator RP ,,,,,,,,,,1,,,,,,,
OSZ,VI,9,  - powołanie podkomisji do rozpatrzenia rządowego projektu ustawy o odpadach wydobywczych (druk nr 217);   - przyjęcie dezyderatu nr 1 w sprawie realizacji zobowiązań traktatowych Polski w zakresie oczyszczania ścieków komunalnych;   - rozpatrzenie informacji przygotowanych w Ministerstwie Środowiska  oraz w Ministerstwie Rozwoju Regionalnego na temat przeglądu programów unijnych służących ochronie środowiska;   - rozpatrzenie informacji na temat stopnia realizacji postanowień traktatu akcesyjnego w dziedzinie dyrektyw dotyczących programu Natura 2000;   - sprawy bieżące.  ,,Jan Rączka, prezes zarządu Narodowego Funduszu Ochrony Środowiska i Gospodarki Wodnej ze współpracownikami ,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej ,NFOŚiGW,,,,,,,,,1,,,,,,
OSZ,VI,9,  - powołanie podkomisji do rozpatrzenia rządowego projektu ustawy o odpadach wydobywczych (druk nr 217);   - przyjęcie dezyderatu nr 1 w sprawie realizacji zobowiązań traktatowych Polski w zakresie oczyszczania ścieków komunalnych;   - rozpatrzenie informacji przygotowanych w Ministerstwie Środowiska  oraz w Ministerstwie Rozwoju Regionalnego na temat przeglądu programów unijnych służących ochronie środowiska;   - rozpatrzenie informacji na temat stopnia realizacji postanowień traktatu akcesyjnego w dziedzinie dyrektyw dotyczących programu Natura 2000;   - sprawy bieżące.  ,,Lucyna Terlikowska, główny specjalista w Ministerstwie Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
OSZ,VI,9,  - powołanie podkomisji do rozpatrzenia rządowego projektu ustawy o odpadach wydobywczych (druk nr 217);   - przyjęcie dezyderatu nr 1 w sprawie realizacji zobowiązań traktatowych Polski w zakresie oczyszczania ścieków komunalnych;   - rozpatrzenie informacji przygotowanych w Ministerstwie Środowiska  oraz w Ministerstwie Rozwoju Regionalnego na temat przeglądu programów unijnych służących ochronie środowiska;   - rozpatrzenie informacji na temat stopnia realizacji postanowień traktatu akcesyjnego w dziedzinie dyrektyw dotyczących programu Natura 2000;   - sprawy bieżące.  ,,Marcin Królak, specjalista w Ministerstwie Infrastruktury ,Ministerstwo Infrastruktury,MI,,,,,,,1,,,,,,,,
OSZ,VI,9,  - powołanie podkomisji do rozpatrzenia rządowego projektu ustawy o odpadach wydobywczych (druk nr 217);   - przyjęcie dezyderatu nr 1 w sprawie realizacji zobowiązań traktatowych Polski w zakresie oczyszczania ścieków komunalnych;   - rozpatrzenie informacji przygotowanych w Ministerstwie Środowiska  oraz w Ministerstwie Rozwoju Regionalnego na temat przeglądu programów unijnych służących ochronie środowiska;   - rozpatrzenie informacji na temat stopnia realizacji postanowień traktatu akcesyjnego w dziedzinie dyrektyw dotyczących programu Natura 2000;   - sprawy bieżące.  ,,Teresa Warchałowska, zastępca dyrektora Departamentu Środowiska Rolnictwa i Zagospodarowania Przestrzennego w Najwyższej Izbie Kontroli wraz ze współpracownikami ,Najwyższa Izba Kontroli,NIK,,,,,,,,,1,,,,,,
OSZ,VI,9,  - powołanie podkomisji do rozpatrzenia rządowego projektu ustawy o odpadach wydobywczych (druk nr 217);   - przyjęcie dezyderatu nr 1 w sprawie realizacji zobowiązań traktatowych Polski w zakresie oczyszczania ścieków komunalnych;   - rozpatrzenie informacji przygotowanych w Ministerstwie Środowiska  oraz w Ministerstwie Rozwoju Regionalnego na temat przeglądu programów unijnych służących ochronie środowiska;   - rozpatrzenie informacji na temat stopnia realizacji postanowień traktatu akcesyjnego w dziedzinie dyrektyw dotyczących programu Natura 2000;   - sprawy bieżące.  ,,Jerzy Ziaja, prezes Ogólnopolskiej Izby Gospodarczej Recyklingu ,Ogólnopolska Izba Gospodarcza Recyklingu,OIGR,,1,,,,,,,,,,,,,
OSZ,VI,9,  - powołanie podkomisji do rozpatrzenia rządowego projektu ustawy o odpadach wydobywczych (druk nr 217);   - przyjęcie dezyderatu nr 1 w sprawie realizacji zobowiązań traktatowych Polski w zakresie oczyszczania ścieków komunalnych;   - rozpatrzenie informacji przygotowanych w Ministerstwie Środowiska  oraz w Ministerstwie Rozwoju Regionalnego na temat przeglądu programów unijnych służących ochronie środowiska;   - rozpatrzenie informacji na temat stopnia realizacji postanowień traktatu akcesyjnego w dziedzinie dyrektyw dotyczących programu Natura 2000;   - sprawy bieżące.  ,,Bożena Wójcik, specjalistka w Instytucie na Rzecz Ekorozwoju ,Instytut na Rzecz Ekorozwoju,INE,1,,,,,,,,,,,,,,
OSZ,VI,9,  - powołanie podkomisji do rozpatrzenia rządowego projektu ustawy o odpadach wydobywczych (druk nr 217);   - przyjęcie dezyderatu nr 1 w sprawie realizacji zobowiązań traktatowych Polski w zakresie oczyszczania ścieków komunalnych;   - rozpatrzenie informacji przygotowanych w Ministerstwie Środowiska  oraz w Ministerstwie Rozwoju Regionalnego na temat przeglądu programów unijnych służących ochronie środowiska;   - rozpatrzenie informacji na temat stopnia realizacji postanowień traktatu akcesyjnego w dziedzinie dyrektyw dotyczących programu Natura 2000;   - sprawy bieżące.  ,,Władysław Skalski, prezes Ligi Ochrony Przyrody ,Liga Ochrony Przyrody,LOP,1,,,,,,,,,,,,,,
OSZ,VI,9,  - powołanie podkomisji do rozpatrzenia rządowego projektu ustawy o odpadach wydobywczych (druk nr 217);   - przyjęcie dezyderatu nr 1 w sprawie realizacji zobowiązań traktatowych Polski w zakresie oczyszczania ścieków komunalnych;   - rozpatrzenie informacji przygotowanych w Ministerstwie Środowiska  oraz w Ministerstwie Rozwoju Regionalnego na temat przeglądu programów unijnych służących ochronie środowiska;   - rozpatrzenie informacji na temat stopnia realizacji postanowień traktatu akcesyjnego w dziedzinie dyrektyw dotyczących programu Natura 2000;   - sprawy bieżące.  ,,Bohdan Szymański, członek zarządu Polskiego Klubu Ekologicznego.,Polski Klub Ekologiczny,PKE,1,,,,,,,,,,,,,,
OSZ,VI,9,  - powołanie podkomisji do rozpatrzenia rządowego projektu ustawy o odpadach wydobywczych (druk nr 217);   - przyjęcie dezyderatu nr 1 w sprawie realizacji zobowiązań traktatowych Polski w zakresie oczyszczania ścieków komunalnych;   - rozpatrzenie informacji przygotowanych w Ministerstwie Środowiska  oraz w Ministerstwie Rozwoju Regionalnego na temat przeglądu programów unijnych służących ochronie środowiska;   - rozpatrzenie informacji na temat stopnia realizacji postanowień traktatu akcesyjnego w dziedzinie dyrektyw dotyczących programu Natura 2000;   - sprawy bieżące.  ,,Krystyna Pająk, - z sekretariatu Komisji w Biurze Komisji Sejmowych   ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
OSZ,VI,9,  - powołanie podkomisji do rozpatrzenia rządowego projektu ustawy o odpadach wydobywczych (druk nr 217);   - przyjęcie dezyderatu nr 1 w sprawie realizacji zobowiązań traktatowych Polski w zakresie oczyszczania ścieków komunalnych;   - rozpatrzenie informacji przygotowanych w Ministerstwie Środowiska  oraz w Ministerstwie Rozwoju Regionalnego na temat przeglądu programów unijnych służących ochronie środowiska;   - rozpatrzenie informacji na temat stopnia realizacji postanowień traktatu akcesyjnego w dziedzinie dyrektyw dotyczących programu Natura 2000;   - sprawy bieżące.  ,,Bogusława Kram, - z sekretariatu Komisji w Biurze Komisji Sejmowych   ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
OSZ,VI,9,  - powołanie podkomisji do rozpatrzenia rządowego projektu ustawy o odpadach wydobywczych (druk nr 217);   - przyjęcie dezyderatu nr 1 w sprawie realizacji zobowiązań traktatowych Polski w zakresie oczyszczania ścieków komunalnych;   - rozpatrzenie informacji przygotowanych w Ministerstwie Środowiska  oraz w Ministerstwie Rozwoju Regionalnego na temat przeglądu programów unijnych służących ochronie środowiska;   - rozpatrzenie informacji na temat stopnia realizacji postanowień traktatu akcesyjnego w dziedzinie dyrektyw dotyczących programu Natura 2000;   - sprawy bieżące.  ,,Mirosław Gwiazdowski, - specjalista z Biura Analiz Sejmowych.,Biuro Analiz Sejmowych,,,,,,,,,1,,,,,,,
OSZ,VI,10,"  - informację z przebiegu wizytacji i spotkania Komisji w dniu 5 marca 2008 r.,   - informację na temat współpracy transgranicznej między Słowacją, Ukrainą i Polską w obszarze Międzynarodowego Rezerwatu Biosfery 'Karpaty Wschodnie' w odniesieniu do 'Ramowej konwencji o ochronie i zrównoważonym rozwoju Karpat' (tzw. konwencji karpackiej).  ",,Janusz Zaleski, podsekretarz stanu w Ministerstwie Środowiska wraz ze współpracownikami ,Ministerstwo Środowiska,MŚ,,,,,,,1,,,,,,,,
OSZ,VI,10,"  - informację z przebiegu wizytacji i spotkania Komisji w dniu 5 marca 2008 r.,   - informację na temat współpracy transgranicznej między Słowacją, Ukrainą i Polską w obszarze Międzynarodowego Rezerwatu Biosfery 'Karpaty Wschodnie' w odniesieniu do 'Ramowej konwencji o ochronie i zrównoważonym rozwoju Karpat' (tzw. konwencji karpackiej).  ",,Marek Proniewski ,radca ministra w Ministerstwie Rozwoju Regionalnego ,Ministerstwo Rozwoju Regionalnego,MRR,,,,,,,1,,,,,,,,
OSZ,VI,10,"  - informację z przebiegu wizytacji i spotkania Komisji w dniu 5 marca 2008 r.,   - informację na temat współpracy transgranicznej między Słowacją, Ukrainą i Polską w obszarze Międzynarodowego Rezerwatu Biosfery 'Karpaty Wschodnie' w odniesieniu do 'Ramowej konwencji o ochronie i zrównoważonym rozwoju Karpat' (tzw. konwencji karpackiej).  ",,Maciej Borsa ,doradca ministra w Ministerstwie Infrastruktury ,Ministerstwo Infrastruktury,MI,,,,,,,1,,,,,,,,
OSZ,VI,10,"  - informację z przebiegu wizytacji i spotkania Komisji w dniu 5 marca 2008 r.,   - informację na temat współpracy transgranicznej między Słowacją, Ukrainą i Polską w obszarze Międzynarodowego Rezerwatu Biosfery 'Karpaty Wschodnie' w odniesieniu do 'Ramowej konwencji o ochronie i zrównoważonym rozwoju Karpat' (tzw. konwencji karpackiej).  ",,Zygmunt Cholewiński ,marszałek województwa podkarpackiego ,,,,,,,,,,,,1,,,,,
OSZ,VI,10,"  - informację z przebiegu wizytacji i spotkania Komisji w dniu 5 marca 2008 r.,   - informację na temat współpracy transgranicznej między Słowacją, Ukrainą i Polską w obszarze Międzynarodowego Rezerwatu Biosfery 'Karpaty Wschodnie' w odniesieniu do 'Ramowej konwencji o ochronie i zrównoważonym rozwoju Karpat' (tzw. konwencji karpackiej).  ",,Małgorzata Chomycz, wicewojewoda podkarpacki ,,,,,,,,,,,,1,,,,,
OSZ,VI,10,"  - informację z przebiegu wizytacji i spotkania Komisji w dniu 5 marca 2008 r.,   - informację na temat współpracy transgranicznej między Słowacją, Ukrainą i Polską w obszarze Międzynarodowego Rezerwatu Biosfery 'Karpaty Wschodnie' w odniesieniu do 'Ramowej konwencji o ochronie i zrównoważonym rozwoju Karpat' (tzw. konwencji karpackiej).  ",,Marek Ryszka ,dyrektor delegatury Narodowego Funduszu Ochrony Środowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej ,NFOŚiGW,,,,,,,,,1,,,,,,
OSZ,VI,10,"  - informację z przebiegu wizytacji i spotkania Komisji w dniu 5 marca 2008 r.,   - informację na temat współpracy transgranicznej między Słowacją, Ukrainą i Polską w obszarze Międzynarodowego Rezerwatu Biosfery 'Karpaty Wschodnie' w odniesieniu do 'Ramowej konwencji o ochronie i zrównoważonym rozwoju Karpat' (tzw. konwencji karpackiej).  ",,Lesław Budnik ,prezes zarządu Wojewódzkiego Funduszu Ochrony Środowiska i Gospodarki Wodnej w Rzeszowie ,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej ,NFOŚiGW,,,,,,,,,,1,,,,,
OSZ,VI,10,"  - informację z przebiegu wizytacji i spotkania Komisji w dniu 5 marca 2008 r.,   - informację na temat współpracy transgranicznej między Słowacją, Ukrainą i Polską w obszarze Międzynarodowego Rezerwatu Biosfery 'Karpaty Wschodnie' w odniesieniu do 'Ramowej konwencji o ochronie i zrównoważonym rozwoju Karpat' (tzw. konwencji karpackiej).  ",,Maria Suchy ,wojewódzki inspektor ochrony środowiska,Główny Inspektor Ochrony Środowiska,GIOŚ,,,,,,,,,1,,,,,,
