num,term_office,committee,term_office1,meeting_id,subject,topic,person,affiliation,entity,abbreviation,NGO,c_industry,c_employers,c_trade,c_company,c_research,c_gov,c_parliament,c_public,c_autonomy,c_lobbyst,c_state,c_parks,c_foreign,c_other
880,VI,OSZ,VI,69,  - zmiany w sk?adzie osobowym podkomisji nadzwyczajnej do rozpatrzenia rz?dowego projektu ustawy - Prawo geologiczne i górnicze (druk nr 1696). ,,S?awomir Jakubczak, - z sekretariatów Komisji w Biurze Komisji Sejmowych; ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
881,VI,OSZ,VI,69,,,Anna Jasie?ska, - z sekretariatów Komisji w Biurze Komisji Sejmowych; ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
882,VI,OSZ,VI,69,,,Bogus?awa Kram, - z sekretariatów Komisji w Biurze Komisji Sejmowych; ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
883,VI,OSZ,VI,69,,,Anna Ornat, - z sekretariatów Komisji w Biurze Komisji Sejmowych; ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
884,VI,OSZ,VI,69,,,Mariusz Pawe?czyk, - z sekretariatów Komisji w Biurze Komisji Sejmowych; ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
885,VI,OSZ,VI,69,,,Ida Reykowska, - legislator z Biura Legislacyjnego.,Biuro Legislacyjne,,,,,,,,,1,,,,,,,
886,VI,OSZ,VI,70,"  - analiza dotychczasowych oraz planowanych dzia?a? rz?du w zakresie rozwoju i promocji odnawialnych ?róde? energii, w tym bilans energii z OZE; ",,Joanna Strzelec-?obodzi?ska, podsekretarz stanu w Ministerstwie Gospodarki wraz ze wspó?pracownikami ,Ministerstwo Gospodarki,MG,,,,,,,1,,,,,,,,
887,VI,OSZ,VI,70,  - szanse i bariery rozwoju produkcji biogazu w Polsce; ,,Bernard B?aszczyk, podsekretarz stanu w Ministerstwie ?rodowiska wraz ze wspó?pracownikami ,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
888,VI,OSZ,VI,70,  - ocena wdro?enia i funkcjonowania w Polsce aktualnego europejskiego systemu instrumentów finansowych wspomagaj?cych ochron? klimatu i odnawialne ?ród?a energii i perspektywy zmian w tym zakresie. ,,Jacek Arciszewski, radca ministra w Ministerstwie Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
889,VI,OSZ,VI,70,,,Teresa Warcha?owska, zast?pca dyrektora Departamentu ?rodowiska Rolnictwa i Zagospodarowania Przestrzennego Najwy?szej Izby Kontroli ,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
890,VI,OSZ,VI,70,,,Ma?gorzata Skucha, wiceprezes zarz?du Narodowego Funduszu Ochrony ?rodowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony ?rodowiska i Gospodarki Wodnej ,NFO?iGW,,,,,,,,,1,,,,,,
891,VI,OSZ,VI,70,,,Micha? D?browski, wiceprzewodnicz?cy Polskiej Izby Gospodarki Odpadami ,Polska Izba Gospodarki Odpadami,PIGO,,1,,,,,,,,,,,,,
892,VI,OSZ,VI,70,,,Janusz Turski, dyrektor Stowarzyszenia Papierników Polskich ,Stowarzyszenie Papierników Polskich,,,1,,,,,,,,,,,,,
893,VI,OSZ,VI,70,,,Wies?aw Wójcik, prezes Polskiej Izby Gospodarczej Energetyki Odnawialnej ,Polska Izba Gospodarcza Energetyki Odnawialnej i Rozproszonej,,,1,,,,,,,,,,,,,
894,VI,OSZ,VI,70,,,Bohdan Szyma?ski, cz?onek Zarz?du G?ównego Polskiego Klubu Ekologicznego.,Polski Klub Ekologiczny,PKE,1,,,,,,,,,,,,,,
895,VI,OSZ,VI,70,,,"Krystyna Paj?k, Bogus?awa Kram", - z sekretariatu Komisji w Biurze Komisji Sejmowych; ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
,,OSZ,VI,70,,,Mariusz Odziemczyk," Lobbysta z Viewpoint Group, ",Viewpoint Group,Viewpoint Group,,,,,,,,,,,1,,,,
,,OSZ,VI,70,,,Maciej Stryjecki,lobbysta z S Konsulting. ,S Consulting,S Consulting,,,,,,,,,,,1,,,,
896,VI,OSZ,VI,70,,,"Miros?aw Gwiazdowski, Miros?aw Sobolewski ", specjali?ci z Biura Analiz Sejmowych. ,Biuro Analiz Sejmowych,,,,,,,,,1,,,,,,,
897,VI,OSZ,VI,71,  - uchwa?? Senatu RP o stanowisku w sprawie ustawy o bateriach i akumulatorach (druk nr 1873).  ,,Bernard B?aszczyk, podsekretarz stanu w Ministerstwie ?rodowiska wraz ze wspó?pracownikami ,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
898,VI,OSZ,VI,71,,,Danuta Kiepas ,przedstawicielka Ministerstwa Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
899,VI,OSZ,VI,71,,,Henryk Giere??o, doradca w Najwy?szej Izbie Kontroli ,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
900,VI,OSZ,VI,71,,,"Dariusz Ho?ub, Jerzy Swato?", przedstawiciele Narodowego Funduszu Ochrony ?rodowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony ?rodowiska i Gospodarki Wodnej ,NFO?iGW,,,,,,,,,1,,,,,,
901,VI,OSZ,VI,71,,,Adam Ma?yszko, prezes Stowarzyszenia Forum Recyklingu Samochodów ,Forum Recyklingu Samochodów,FORS,1,,,,,,,,,,,,,,
902,VI,OSZ,VI,71,,,Micha? D?browski, wiceprezes Polskiej Izby Gospodarki Odpadami ,Polska Izba Gospodarki Odpadami,PIGO,,1,,,,,,,,,,,,,
903,VI,OSZ,VI,71,,,Micha? Kanownik, przedstawiciel Zwi?zku Importerów i Producentów Sprz?tu Elektrycznego i Elektronicznego Bran?y RTV i IT ,Zwi?zek Importerów i Producentów Sprz?tu Elektrycznego i Elektronicznego Bran?y RTV i IT ,,,1,,,,,,,,,,,,,
904,VI,OSZ,VI,71,,,Dawid Królikowski, ekspert Konfederacji Pracodawców Polskich ,Konfederacja Pracodawców Polskich,KPP,,,1,,,,,,,,,,,,
905,VI,OSZ,VI,71,,,Bohdan Szyma?ski, cz?onek Zarz?du G?ównego Polskiego Klubu Ekologicznego   ,Polski Klub Ekologiczny,PKE,1,,,,,,,,,,,,,,
906,VI,OSZ,VI,71,,,Ryszard Pazdan, przedstawiciel Business Center Club.,,,,,1,,,,,,,,,,,,
907,VI,OSZ,VI,71,,,"Katarzyna Gadecka, Anna Ornat,  Krystyna Paj?k ", - z sekretariatu Komisji w Biurze Komisji Sejmowych    ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
908,VI,OSZ,VI,71,,,Bogus?awa Kram, - z sekretariatu Komisji w Biurze Komisji Sejmowych    ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
909,VI,OSZ,VI,71,,,Tomasz Jaroszy?ski , - legislatorzy z Biura Legislacyjnego.,Biuro Legislacyjne,,,,,,,,,1,,,,,,,
910,VI,OSZ,VI,71,,,Przemys?aw Sad?o?, - legislatorzy z Biura Legislacyjnego.,Biuro Legislacyjne,,,,,,,,,1,,,,,,,
,,OSZ,VI,71,,,S?awomir Mazurek ,Lobbysta z Central European Consulting Sp. z o.o. ,Central European Consulting,Central European Consulting,,,,,,,,,,,1,,,,
911,VI,OSZ,VI,72,"  - mo?liwo?ci energetycznego wykorzystania odpadów komunalnych, ",,Kazimierz Plocke ,sekretarz stanu w Ministerstwie Rolnictwa i Rozwoju Wsi wraz ze wspó?pracownikami ,Ministerstwo Rolnictwa i Rozwoju Wsi,MRiR,,,,,,,1,,,,,,,,
912,VI,OSZ,VI,72,  - rozpatrzenie sprawozdania podkomisji nadzwyczajnej o komisyjnym projekcie ustawy o zmianie ustawy o ochronie gruntów rolnych i le?nych (druk nr 721) - kontynuacja.  ,,Bernard B?aszczyk ,podsekretarz stanu w Ministerstwie ?rodowiska wraz ze wspó?pracownikami ,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
913,VI,OSZ,VI,72,,,"Danuta Kiepas, Ma?gorzata Zadro?na", przedstawicielki Ministerstwa Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
914,VI,OSZ,VI,72,,,Miros?aw Gogol, przedstawiciel Ministerstwa Gospodarki ,,,,,,,,,1,,,,,,,,
915,VI,OSZ,VI,72,,,Iwona Konik, przedstawicielka Ministerstwa Infrastruktury ,,,,,,,,,1,,,,,,,,
916,VI,OSZ,VI,72,,,Henryk Giere??o, doradca w Najwy?szej Izbie Kontroli ,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
917,VI,OSZ,VI,72,,,"Jerzy Swato?, Dariusz Ho?ub", przedstawiciele Narodowego Funduszu Ochrony ?rodowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony ?rodowiska i Gospodarki Wodnej ,NFO?iGW,,,,,,,,,1,,,,,,
918,VI,OSZ,VI,72,,,Micha? D?browski, wiceprezes Polskiej Izby Gospodarki Odpadami ,Polska Izba Gospodarki Odpadami,PIGO,,1,,,,,,,,,,,,,
919,VI,OSZ,VI,72,,,Krzysztof Rytel, przedstawiciel Stowarzyszenia Zielone Mazowsze ,,,1,,,,,,,,,,,,,,
920,VI,OSZ,VI,72,,,Bohdan Szyma?ski, cz?onek Zarz?du  G?ównego Polskiego Klubu Ekologicznego.,Polski Klub Ekologiczny,PKE,1,,,,,,,,,,,,,,
921,VI,OSZ,VI,72,,,"Krystyna Paj?k, Bogus?awa Kram", - z sekretariatu Komisji w Biurze Komisji Sejmowych; ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
922,VI,OSZ,VI,72,,,"Micha? D?bkowski, Aleksandra Radwa?ska", - legislatorzy z Biura Legislacyjnego.,Biuro Legislacyjne,,,,,,,,,1,,,,,,,
923,VI,OSZ,VI,73,  - podkomisj? nadzwyczajn? do rozpatrzenia rz?dowego projektu ustawy o zmianie ustawy - Prawo ochrony ?rodowiska (druk nr 1776).  ,,Bernard B?aszczyk, podsekretarz stanu w Ministerstwie ?rodowiska wraz ze wspó?pracownikami ,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
924,VI,OSZ,VI,73,,,Jan Wiater, wiceprezes Zarz?du Narodowego Funduszu Ochrony ?rodowiska i Gospodarki Wodnej wraz ze wspó?pracownikami ,Narodowy Fundusz Ochrony ?rodowiska i Gospodarki Wodnej ,NFO?iGW,,,,,,,,,1,,,,,,
925,VI,OSZ,VI,73,,,Arkadiusz Lewicki, przedstawiciel Zwi?zku Banków Polskich ,,,,1,,,,,,,,,,,,,
926,VI,OSZ,VI,73,,,Ryszard Pazdan, ekspert w Business Centre Club.,Business Centre Club,,,,1,,,,,,,,,,,,
927,VI,OSZ,VI,73,,,"Anna Jasi?ska, Bogus?awa Kram,",- z sekretariatów Komisji w Biurze Komisji Sejmowych; ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
928,VI,OSZ,VI,73,,,"Krystyna Paj?k, Mariusz Pawe?czyk ",- z sekretariatów Komisji w Biurze Komisji Sejmowych; ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
929,VI,OSZ,VI,73,,,Przemys?aw Sad?o?, - legislator z Biura Legislacyjnego.,Biuro Legislacyjne,,,,,,,,,1,,,,,,,
930,VI,OSZ,VI,74,"  - zarz?dzanie obszarami Natura 2000 i konsekwencje dla polityki rozwoju gmin, powiatów i województw; ",,Hanna Jahns, sekretarz stanu w Ministerstwie Rozwoju Regionalnego wraz ze wspó?pracownikami ,Ministerstwo Rozwoju Regionalnego,MRR,,,,,,,1,,,,,,,,
931,VI,OSZ,VI,74,  - rozpatrzenie stanowiska podkomisji nadzwyczajnej do spraw wyja?nienia zobowi?za? zmniejszenia emisji zwi?zków fosforu i azotu do Ba?tyku przyj?tych przez Polsk? 15 listopada 2007 r. na konferencji Komisji Helsi?skiej w Krakowie; ,,Janusz Zaleski, podsekretarz stanu w Ministerstwie ?rodowiska wraz ze wspó?pracownikami ,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
932,VI,OSZ,VI,74,  - sprawy ró?ne.  ,,Andrzej Jagusiewicz, g?ówny inspektor ochrony ?rodowiska ,,,,,,,,,,,,,,,,,
933,VI,OSZ,VI,74,,,Micha? Kie?sznia, dyrektor generalny ochrony ?rodowiska ,,,,,,,,,,,,,,,,,
934,VI,OSZ,VI,74,,,Lucyna Terlikowska, przedstawicielka Ministerstwa Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
935,VI,OSZ,VI,74,,,Katarzyna Papi?ska, przedstawicielka Najwy?szej Izby Kontroli ,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
936,VI,OSZ,VI,74,,,Miros?aw Sobala, p.o. dyrektor Departamentu Edukacji i Ochrony Przyrody w Narodowym Funduszu Ochrony ?rodowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony ?rodowiska i Gospodarki Wodnej ,NFO?iGW,,,,,,,,,,,,,,,
937,VI,OSZ,VI,74,,,Bohdan Szyma?ski, cz?onek Zarz?du G?ównego Polskiego Klubu Ekologicznego ,Polski Klub Ekologiczny,PKE,1,,,,,,,,,,,,,,
938,VI,OSZ,VI,74,,,Ryszard Pazdan, ekspert w Business Centre Club. ,Business Centre Club,,,,1,,,,,,,,,,,,
939,VI,OSZ,VI,74,,,"Krystyna Paj?k, Bogus?awa Kram", - z sekretariatu Komisji w Biurze Komisji Sejmowych.,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
940,VI,OSZ,VI,75,  - projekt dezyderatu w sprawie podj?cia zdecydowanych dzia?a? przywracaj?cych w?a?ciwe wykorzystanie polskich ?ródl?dowych dróg wodnych. ,, Anna Wypych-Namiotko ,podsekretarz stanu w Ministerstwie  Infrastruktury wraz ze wspó?pracownikami ,,,,,,,,,1,,,,,,,,
941,VI,OSZ,VI,75,,,Iwona Koza, zast?pca prezesa Krajowego Zarz?du Gospodarki Wodnej wraz ze wspó?pracownikami ,Krajowa Rada Gospodarki Wodnej,KZGW,,,,,,,,,1,,,,,,
942,VI,OSZ,VI,75,,,Henryk Giere??o ,doradca w Najwy?szej Izbie Kontroli  ,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
943,VI,OSZ,VI,75,,,Magdalena Sitek ,ekspert w Narodowym Funduszu Ochrony ?rodowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony ?rodowiska i Gospodarki Wodnej ,NFO?iGW,,,,,,,,,,,,,,,
944,VI,OSZ,VI,75,,,Jan Py? ,dyrektor Urz?du ?eglugi ?ródl?dowej we Wroc?awiu ,,,,,,,,,,,,1,,,,,
945,VI,OSZ,VI,75,,,Stefan Heinrich, prezes Polskiego Zwi?zku ?eglarskiego ,,,1,,,,,,,,,,,,,,
946,VI,OSZ,VI,75,,,Jerzy Hopfer ,zast?pca prezesa Zwi?zku Polskich Armatorów ?ródl?dowych w Szczecinie ,,,,1,,,,,,,,,,,,,
947,VI,OSZ,VI,75,,,Bohdan Szyma?ski, cz?onek zarz?du Polskiego Klubu Ekologicznego. ,Polski Klub Ekologiczny,PKE,1,,,,,,,,,,,,,,
948,VI,OSZ,VI,75,,," Bogus?awa Kram, Teodozja Nojszewska-Komar - ",z sekretariatów Komisji w Biurze Komisji Sejmowych. ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
949,VI,OSZ,VI,76,"  - Ocena funkcjonowania polskiego modelu gospodarki ?owieckiej; szkody ?owieckie, ",,Janusz Zaleski ,podsekretarz stanu w Ministerstwie ?rodowiska wraz ze wspó?pracownikami,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
950,VI,OSZ,VI,76,  - Sprawy bie??ce. ,, Jan Suchoro?czak ,wiceprezes Naczelnej Rady ?owieckiej ,,,,1,,,,,,,,,,,,,
951,VI,OSZ,VI,76,,,Stanis?aw Gorczyca, senator RP.,,,,,,,,,,1,,,,,,,
952,VI,OSZ,VI,76,,,Bogus?awa Kram, - z sekretariatu Komisji w Biurze Komisji Sejmowych. ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
953,VI,OSZ,VI,76,,, Krystyna Paj?k, - z sekretariatu Komisji w Biurze Komisji Sejmowych. ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
954,VI,OSZ,VI,77,  - pierwsze czytanie rz?dowego projektu ustawy o systemie zarz?dzania emisjami gazów cieplarnianych lub innych substancji (druk nr 1936); ,,Bernard B?aszczyk, podsekretarz stanu w Ministerstwie ?rodowiska wraz ze wspó?pracownikami ,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
955,VI,OSZ,VI,77,  - rozpatrzenie stanowiska Podkomisji nadzwyczajnej do spraw wyja?nienia zobowi?za? zmniejszenia emisji zwi?zków fosforu i azotu do Ba?tyku przyj?tych przez Polsk? 15 listopada 2007 r. na konferencji Komisji Helsi?skiej w Krakowie - kontynuacja.  ,,Lucyna Terlikowska ,g?ówny specjalista w Ministerstwie Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
956,VI,OSZ,VI,77,,,Henryk Giere??o , przedstawiciele Najwy?szej Izby Kontroli ,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
957,VI,OSZ,VI,77,,, Alicja Gruszecka, przedstawiciele Najwy?szej Izby Kontroli ,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
958,VI,OSZ,VI,77,,,Ewa Suszy?ska, ekspert w Narodowym Funduszu Ochrony ?rodowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony ?rodowiska i Gospodarki Wodnej ,NFO?iGW,,,,,,,,,1,,,,,,
959,VI,OSZ,VI,77,,,Wojciech Jaworski, kierownik Krajowego Administratora Systemu Handlu Uprawnieniami do Emisji ,Krajowy Administrator Systemu Handlu Uprawnieniami do Emisji ,,,,,,,,,,1,,,,,,
960,VI,OSZ,VI,77,,,Jan Suchoro?czyk, wiceprezes Naczelnej Rady ?owieckiej.,,,,1,,,,,,,,,,,,,
961,VI,OSZ,VI,77,,,Krystyna Paj?k, - z sekretariatu Komisji w Biurze Komisji Sejmowych; ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
962,VI,OSZ,VI,77,,,Przemys?aw Sad?o?, - legislator z Biura Legislacyjnego.,Biuro Legislacyjne,,,,,,,,,1,,,,,,,
963,VI,OSZ,VI,78,  - sprawozdania podkomisji nadzwyczajnej o rz?dowym projekcie ustawy o systemie zarz?dzania emisjami gazów cieplarnianych lub innych substancji (druk nr 1936).  ,,Bernard B?aszczyk, podsekretarz stanu w Ministerstwie ?rodowiska wraz ze wspó?pracownikami ,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
964,VI,OSZ,VI,78,,,Ewa Majewska, radca ministra w Ministerstwie Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
965,VI,OSZ,VI,78,,,Wojciech Jaworski, kierownik Krajowego Administratora Systemu Handlu Uprawnieniami do Emisji wraz ze wspó?pracownikami ,Krajowy Administrator Systemu Handlu Uprawnieniami do Emisji ,,,,,,,,,,1,,,,,,
966,VI,OSZ,VI,78,,,Alicja Gruszecka, doradca techniczny w Najwy?szej Izbie Kontroli ,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
967,VI,OSZ,VI,78,,,Katarzyna Biedrzycka, przedstawicielki Narodowego Funduszu Ochrony ?rodowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony ?rodowiska i Gospodarki Wodnej ,NFO?iGW,,,,,,,,,1,,,,,,
968,VI,OSZ,VI,78,,,Ma?gorzata Kijowska, przedstawicielki Narodowego Funduszu Ochrony ?rodowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony ?rodowiska i Gospodarki Wodnej ,NFO?iGW,,,,,,,,,1,,,,,,
969,VI,OSZ,VI,78,,,Katarzyna S?omska, przedstawicielki Narodowego Funduszu Ochrony ?rodowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony ?rodowiska i Gospodarki Wodnej ,NFO?iGW,,,,,,,,,1,,,,,,
970,VI,OSZ,VI,78,,,Agata Drewniak, ekspert w Polskiej Konfederacji Pracodawców Prywatnych 'Lewiatan'.,Konfederacja Pracodawców Prywatnych Lewiatan,Lewiatan,,,1,,,,,,,,,,,,
971,VI,OSZ,VI,78,,,"Bogus?awa Kram, Mariusz Pawe?czyk", - z sekretariatu Komisji w Biurze Komisji Sejmowych; ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
972,VI,OSZ,VI,78,,,Przemys?aw Sad?o?, - legislator z Biura  Legislacyjnego.,Biuro Legislacyjne,,,,,,,,,1,,,,,,,
973,VI,OSZ,VI,79,  - poprawki zg?oszone w drugim czytaniu komisyjnego projektu ustawy o zmianie ustawy o ochronie gruntów rolnych i le?nych (druk nr 1907); ,,Kazimierz Plocke, sekretarz stanu w Ministerstwie Rolnictwa i Rozwoju Wsi   ,Ministerstwo Rolnictwa i Rozwoju Wsi,MRiR,,,,,,,1,,,,,,,,
974,VI,OSZ,VI,79,  - sprawozdanie podkomisji nadzwyczajnej o rz?dowym projekcie ustawy o systemie zarz?dzania emisjami gazów cieplarnianych lub innych substancji (druk nr 1936) - kontynuacja; ,,Tadeusz Nalewajk, podsekretarz stanu w MRiRW wraz ze wspó?pracownikami ,,,,,,,,,,,,,,,,,
975,VI,OSZ,VI,79,  - projekt dezyderatu w sprawie funkcjonowania gospodarki ?owieckiej w Polsce.  ,,Bernard B?aszczyk , podsekretarze stanu w Ministerstwie ?rodowiska wraz ze wspó?pracownikami ,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
976,VI,OSZ,VI,79,,,Janusz Zaleski, podsekretarze stanu w Ministerstwie ?rodowiska wraz ze wspó?pracownikami ,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
977,VI,OSZ,VI,79,,,Ewa Majewska, przedstawicielki Ministerstwa Finansów  ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
978,VI,OSZ,VI,79,,,Ma?gorzata Zadro?na, przedstawicielki Ministerstwa Finansów  ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
979,VI,OSZ,VI,79,,,Wojciech Jaworski, kierownik Krajowego Administratora Systemu Handlu Uprawnieniami do Emisji wraz ze wspó?pracownikami ,Krajowy Administrator Systemu Handlu Uprawnieniami do Emisji ,,,,,,,,,,1,,,,,,
980,VI,OSZ,VI,79,,,Henryk Giere??o, przedstawiciele Najwy?szej Izby Kontroli ,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
981,VI,OSZ,VI,79,,,Alicja Gruszecka, przedstawiciele Najwy?szej Izby Kontroli ,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
982,VI,OSZ,VI,79,,,Katarzyna S?omska, inspektor w Narodowym Funduszu Ochrony ?rodowiska i Gospodarki Wodnej ,Narodowy Fundusz Ochrony ?rodowiska i Gospodarki Wodnej ,NFO?iGW,,,,,,,,,1,,,,,,
983,VI,OSZ,VI,79,,,Jan Suchoro?czak, wiceprezes Naczelnej Rady ?owieckiej ,,,,1,,,,,,,,,,,,,
984,VI,OSZ,VI,79,,,Marek Duszy?ski, radca prawny Zarz?du G?ównego Polskiego Zwi?zku ?owieckiego ,Polski Zwi?zek ?owiecki,Polski Zwi?zek ?owiecki,,1,,,,,,,,,,,,,
985,VI,OSZ,VI,79,,,Agata Drewniak, ekspert w Konfederacji Pracodawców Prywatnych 'Lewiatan' ,Konfederacja Pracodawców Prywatnych Lewiatan,Lewiatan,,,1,,,,,,,,,,,,
986,VI,OSZ,VI,79,,,Ryszard Pazdan, przedstawiciel Business Centre Club.,Business Centre Club,,,,1,,,,,,,,,,,,
987,VI,OSZ,VI,79,,,"Bogus?awa Kram, Mariusz Pawe?czyk", - z sekretariatu Komisji w Biurze Komisji Sejmowych; ,Biuro Komisji Sejmowych,,,,,,,,,1,,,,,,,
988,VI,OSZ,VI,79,,,"Dariusz D?bkowski, Aleksandra Radwa?ska, Przemys?aw Sad?o?, Aleksandra Wolna ", legislatorzy z Biura Legislacyjnego. ,Biuro Legislacyjne,,,,,,,,,1,,,,,,,
989,VI,OSZ,VI,80,  - sprawozdanie z wykonania bud?etu pa?stwa za okres od 1 stycznia do 31 grudnia 2008 r. (druk nr 2031) wraz z analiz? Najwy?szej Izby Kontroli w zakresie:  ,,Stanis?aw Gaw?owski, sekretarz stanu w Ministerstwie ?rodowiska ,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
990,VI,OSZ,VI,80,"  1) cz??ci bud?etowej 22 - Gospodarka wodna,  ",,Janusz Zaleski, podsekretarz stanu w Ministerstwie ?rodowiska wraz ze wspó?pracownikami ,Ministerstwo ?rodowiska,M?,,,,,,,1,,,,,,,,
991,VI,OSZ,VI,80,"  2) cz??ci bud?etowej 41 - ?rodowisko,  ",,Ewa Paderewska, przedstawiciele Ministerstwa Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
992,VI,OSZ,VI,80,"  3) ?rodków bezzwrotnych pochodz?cych z programów pomocy przedakcesyjnej Unii Europejskiej, ?rodków pochodz?cych z Unii Europejskiej w ramach programu Transition Facility (?rodki Przej?ciowe), ?rodków na realizacj? Norweskiego Mechanizmu Finansowego i Mechanizmu Finansowego Europejskiego Obszaru Gospodarczego, ?rodków z funduszy strukturalnych i Funduszu Spójno?ci wed?ug programów operacyjnych i w podziale na poszczególne lata realizacji, prefinansowania zada? przewidzianych do finansowania ze ?rodków Unii Europejskiej oraz wykonania limitów kwot wydatków w 2008 r. okre?lonych w Narodowym Planie Rozwoju 2004-2006 oraz wykazie programów operacyjnych, realizowanych w ramach Narodowych Strategicznych Ram Odniesienia; ",,Ewa  Majewska, przedstawiciele Ministerstwa Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
993,VI,OSZ,VI,80,  4) cz??ci bud?etowej 83 - Rezerwy celowe w zakresie pozycji:  ,,Danuta Ujazdowska, przedstawiciele Ministerstwa Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
994,VI,OSZ,VI,80,  5) programów wieloletnich w zakresie pozycji:  ,,Agnieszka K?os, przedstawiciele Ministerstwa Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
995,VI,OSZ,VI,80,"  6) cz??ci bud?etowej 68 - Pa?stwowa Agencja Atomistyki,  ",,Kamila Szczerbi?ska, przedstawiciele Ministerstwa Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
996,VI,OSZ,VI,80,"  7) cz??ci bud?etowej 85 - Bud?ety wojewodów ogó?em, w zakresie dzia?ów:  ",,Ma?gorzata Halicka, przedstawiciele Ministerstwa Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
997,VI,OSZ,VI,80,,,Marian Kucharski, przedstawiciele Ministerstwa Finansów ,Ministerstwo Finansów,MF,,,,,,,1,,,,,,,,
998,VI,OSZ,VI,80,,,Józef Górny, wiceprezes Najwy?szej Izby Kontroli wraz ze wspó?pracownikami ,Najwy?sza Izba Kontroli,NIK,,,,,,,,,1,,,,,,
999,VI,OSZ,VI,80,,,Ma?gorzata Skucha, wiceprezes Narodowego Funduszu Ochrony ?rodowiska i Gospodarki Wodnej wraz ze wspó?pracownikami ,Narodowy Fundusz Ochrony ?rodowiska i Gospodarki Wodnej ,NFO?iGW,,,,,,,,,1,,,,,,
1000,VI,OSZ,VI,80,,,Micha? Kie?sznia, generalny dyrektor Ochrony ?rodowiska wraz ze wspó?pracownikami ,,,,,,,,,,,1,,,,,,
