host	id	date	location	title	guestid	guestname	cabinet		
Vice-President Jyrki Katainen	d9aa00800eb5f80ed932b69f4eadb30e	23/01/2015	Davos, Switzerland	Investment plan	53891615036-88	Bank of America			
Vice-President Jyrki Katainen	c77bafab2e89a9fa9007c3f2e206e8e6	12/01/2015	Brussels	Investment initiative	118451215540-75	Meridiam			
Vice-President Jyrki Katainen	e0eb0674e8b842ad9bde6fe7cc1c0af5	09/01/2015	Brussels	Industrial policy and metals industry	61650796093-48	Eurometaux			
Vice-President Jyrki Katainen	f7b082e46ce942fecc2f9a6f8284d76e	15/12/2014	Bucharest	Investment Initiative Roadshow	986174915223-79	MICROELECTRONICA S.A.			
Vice-President Jyrki Katainen	df456b83ba57823f579ffc6acda0ec99	13/12/2014	Janakkala	Investment initiative	35167875358-33	Nokia			
Vice-President Jyrki Katainen	b39f38f5d6efe14c14d66dff134d86d5	12/12/2014	Fiskars	Investment initiative	602839415178-51	Outotec Oyj			
Vice-President Jyrki Katainen	e0bc3eb73c1701e672f753aff4511d0e	11/12/2014	Brussels	Industrial Policy	1274604847-34	Confederation of Finnish Industries EK			
Vice-President Jyrki Katainen	c7fc4bff2b0dd7974ac0a4248f840c92	10/12/2014	Brussels	Investments and innovations in the digital sector	90142503473-81	Vodafone Belgium SA			
Vice-President Jyrki Katainen	d5b87af1a4bdc28bc18999bf0f31029b	04/12/2014	Brussels	Investment initiative	56039441735-48	Maa- ja metsätaloustuottajain Keskusliitto – Central Union of Agricultural Producers and Forest Owners			
Vice-President Jyrki Katainen	125f3baa4f20f39277f1c2ac1668bf81	03/12/2014	Brussels	SME Policy	07265875082-72	Suomen Yrittäjät ry			
Vice-President Jyrki Katainen	d880d7f9064c20b3fa43a1e7875c8f2b	02/12/2014	Brussels	Finnish Labour Unions	98086919699-94	Akava ry			
Vice-President Jyrki Katainen	635982c2009e2955cd02b65871d52832	01/12/2014	Brussels	Climate report, renewable energy	661245915266-39	Finnish Innovation Fund Sitra			
Hilde Hardeman	7c39c7232de1530c340416525490ed43	12/03/2015	Brussels	Investment Plan and Circualar Economy	13255254129-80	Vereniging VNO-NCW	Cabinet members of Vice-President Jyrki Katainen		
Hilde Hardeman	63c2bc50f2e107460c28d3a7cd7eb438	11/03/2015	Brussels	Competitiveness	409256516428-39	EFQM European Foundation for Quality Management	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	1ad83e12a79cf4eb8b821a63855fd7e4	06/03/2015	Brussels	TTIP and Investment protection	1274604847-34	Confederation of Finnish Industries EK	Cabinet members of Vice-President Jyrki Katainen		
Valérie Herzberg	d8c88aadda8fa0632a487b6a7043d395	05/03/2015	Brussels	Capital markets union	525811814282-80	Depository Trust and Clearing Corporation	Cabinet members of Vice-President Jyrki Katainen		
Juho Romakkaniemi	7971179e1cbbac4f1c3f5d2ba1906dc2	04/03/2015	Brussels	Turkish investments	05241797002-90	Confederation of Businessmen and Industrialists of Turkiye	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	d52280a32e8fd2d957eaee9939795637	04/03/2015	Brussels	Launch event - Finance for infrastructure and growth companies in Europe	237922911665-25	TheCityUK	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	eb25f4e3986f5ce0e5d02e39940c5537	04/03/2015	Brussels	European CEO Survey	701266814986-18	The Goldman Sachs Group, Inc.	Cabinet members of Vice-President Jyrki Katainen		
Juho Romakkaniemi	5d967c37b19a0375053163cc1b7f61a6	04/03/2015	Brussels	Shipping and Energy Union	012464715142-75	Wärtsilä Corporation	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	035957f4032739fc3838705fb8d811b0	04/03/2015	Brussels	Possible speaking opportunities for the VP	625244214975-24	The European House - Ambrosetti	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	1e221d15cdfe78369c0642f78376d7c8	04/03/2015	Brussels	EU Alcohol Strategy	701994315052-90	SABMiller	Cabinet members of Vice-President Jyrki Katainen		
Miguel Gil Tertre	42886f1bc1b83fc2f173257b499819bd	04/03/2015	Brussels	Investment Initiative	001866415031-87	HSBC Holdings PLC	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	164ae328afcca22113826b0a8941307e	03/03/2015	Brussels	Industrial Policy	79465004946-12	Cerame-Unie	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	4906df1266d5fe4e1bb3bc9c132cdcc6	02/03/2015	Brussels	Industrial Policy	80003592094-64	Union Européenne des Promoteurs-Constructeurs	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	a1b130d48a69ef46c9515fc41ec92be6	02/03/2015	Brussels	Circular Economy	099567215966-86	McKinsey & Company, Inc.	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	a1b130d48a69ef46c9515fc41ec92be6	02/03/2015	Brussels	Circular Economy	unregistered	Ellen McArthur Foundation	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	3de265120d0fb3f6e3fe35f6512e48be	27/02/2015	Brussels	Circular Economy	7574443768-34	Tetra Pak International	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	de34e5af66b42e789830b81461a110c0	27/02/2015	Brussels	Digital Single Market and investments	64657917668-41	European Law Institute for State Aid	Cabinet members of Vice-President Jyrki Katainen		
Valérie Herzberg	b1000489aba021dd2105507e0221f47f	27/02/2015	Brussels	Venture capital	60975211600-74	European Private Equity and Venture Capital Association	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	9519b188c9153490a36b371735e927b9	26/02/2015	Brussels	Energy Policy	41126912590-71	AREVA SA	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	e7d91f5a90575ad63e7e3b480702f889	26/02/2015	Brussels	Investment plan	25487567824-45	European Round Table of Industrialists	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	f6922b38e3ebc119a6ab8114a9fd36f1	26/02/2015	Brussels	Industrial Policy	62722978644-95	European Association of Mining Industries, Metal Ores & Industrial Minerals	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	83264708f536ff792fbe662c41f85dd5	25/02/2015	Brussels	Agriculture policy and investments	42967152383-63	European Dairy Association aisbl	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	b0ebe5fa65750e1671d854e0ada0fefa	25/02/2015	Brussels	Lifelong Learning	3334854676-12	European Association for the Education of Adults	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	39f8e4e20cf8af7b35ec2ff8de4d48f9	25/02/2015	Brussels	Circular Economy	764633015511-42	European Recycling Industries' Confederation	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	d762b4f70288d47b3531c1393ff74e93	25/02/2015	Brussels	Industry Policy	39705603497-38	The Federation of Finnish Technology Industries	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	3bc28bb3ff9341919c0d61063e821404	25/02/2015	Brussels	European Competitiveness	524686116124-73	Atlantic Council	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	02dee6d928830163ebb6184231187eeb	25/02/2015	Brussels	Circular Economy	00162715418-92	Plastics Recyclers Europe	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	02dee6d928830163ebb6184231187eeb	25/02/2015	Brussels	Circular Economy	93255296152-29	European Plastics Converters Association	Cabinet members of Vice-President Jyrki Katainen		
Juho Romakkaniemi	8c9bb5d649763a954ecbb85e5aea2349	24/02/2015	Brussels	Capital markets union	09245221105-30	Fédération bancaire française	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	1ac27e736f0e20ed07d6d869df23d0d4	24/02/2015	Brussels	Circular Economy	75395701551-94	Municipal Waste Europe	Cabinet members of Vice-President Jyrki Katainen		
Valérie Herzberg	2d554e47e6f901b535f6516a97cdcbac	24/02/2015	Brussels	Capital markets union	688571314594-79	Institutional Limited Partners Association	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	5df17bb8459f4c7a9085be1e6273931e	24/02/2015	Brussels	Energy Policy	861194311863-31	UPM-Kymmene Oyj	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	6934c71a3c82c78d923c999b53f3eb91	23/02/2015	Brussels	Trade	9624415524-28	UNIFE	Cabinet members of Vice-President Jyrki Katainen		
Valérie Herzberg	756d60e47ee2ee52fdac3d5caa7ab5f2	19/02/2015	Brussels	Capital markets union	76648765687-29	NASDAQ	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	e08650fec6482c3182429d04e0dbdd1f	18/02/2015	Brussels	Pharmaceutical Industry	48325781850-28	European Generic medicines Association	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	209f9e26cbeca1708c3439257ca49f8f	18/02/2015	Brussels	Lifelong Learning	74923516160-01	EUCIS-LLL	Cabinet members of Vice-President Jyrki Katainen		
Valérie Herzberg	9d1566b43221291a97bd46d9057eedec	16/02/2015	Brussels	Securitisation	53891615036-88	Bank of America	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	f61f642d7c54edc2c2893d427a31618e	12/02/2015	Brussels	Priorities of the new Commission	89092554724-82	Trans-Atlantic Business Council	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	0ebecb1ab43eff238535c4da2fc84f1c	12/02/2015	Brussels	Investment Plan	4016736872-59	General Electric Company	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	1cd59009ff1b5fb87161fb3b49bec4c4	12/02/2015	Brussels	Industrial Policy	5189667783-94	Zentralverband des Deutschen Handwerks e.V.	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	e03e6d72cec75e04c3aea007450f41c1	11/02/2015	Brussels	Investments and competitiveness	00358442856-45	QUALCOMM Inc.	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	a8433f057ad1ed9a17a4e63f1617d2c6	11/02/2015	Brussels	Business Growth Fund and SME finance	001866415031-87	HSBC Holdings PLC	Cabinet members of Vice-President Jyrki Katainen		
Juho Romakkaniemi	5e367ca6974742a4c6d19e69ad07a47b	11/02/2015	Brussels	Investment plan	34424201320-69	Accenture International SARL	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	281cf0650b618c2cfc54b698d07381aa	09/02/2015	Brussels	preparatory meeting for GE - VP meeting on 12/2	4016736872-59	General Electric Company	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	9653e00b560001326a1c36d0e27256c0	09/02/2015	Brussels	Priorities of the new Commission	31200871765-41	Handelsverband Deutschland	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	9653e00b560001326a1c36d0e27256c0	09/02/2015	Brussels	Priorities of the new Commission	650035215812-91	EDEKA Zentrale AG & Co. KG	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	9653e00b560001326a1c36d0e27256c0	09/02/2015	Brussels	Priorities of the new Commission	13480556813-27	Kaufland	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	9653e00b560001326a1c36d0e27256c0	09/02/2015	Brussels	Priorities of the new Commission	695563913580-18	REWE Zentral	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	b6c20f8ead71f8455077fbb71481af77	06/02/2015	Brussels	Investment Initiative	81995781088-41	APCO Worldwide	Cabinet members of Vice-President Jyrki Katainen		
Juho Romakkaniemi	db26cd316479953c156e20b9252ddacb	06/02/2015	Brussels	Presentation of the work of the Commission	549564815917-64	VR Group	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	881c4bef95ef34f36a3a20509f774984	05/02/2015	Brussels	Tax Policy	1274604847-34	Confederation of Finnish Industries EK	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	a52f10b02ed98caae01761e32417ad5d	05/02/2015	Brussels	ICT, growth and competitiveness	381805014604-45	TeliaSonera AB	Cabinet members of Vice-President Jyrki Katainen		
Juho Romakkaniemi	209315bface201bf60e1e2f7c861f77a	04/02/2015	Brussels	Vanguard initiative, regional funds and FC Regulation	171385315838-88	Tampereen ja Pirkanmaan EU-toimisto/Tampere Region EU Office	Cabinet members of Vice-President Jyrki Katainen		
Juho Romakkaniemi	209315bface201bf60e1e2f7c861f77a	04/02/2015	Brussels	Vanguard initiative, regional funds and FC Regulation	264715410758-45	Skane European Office	Cabinet members of Vice-President Jyrki Katainen		
Juho Romakkaniemi	6c5e6bd345b75e3732c07923a1f14158	04/02/2015	Brussels	Investment initiative and single market agenda	84973761187-60	EuroCommerce	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	d4f91f7802194b027e5d6c37c894e703	04/02/2015	Brussels	Digital Single Market	54437813115-56	European Association of Internet Services Providers	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	4573814110bf2c156855d2189094bc99	04/02/2015	Brussels	Circular Economy	27799842497-69	SUEZ ENVIRONNEMENT	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	7b14c4172c2df53c0745620959367306	04/02/2015	Brussels	Industrial Policy	23020671103-67	Cambre Associates	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	13aedcf4400317b6e138628576936318	04/02/2015	Brussels	EU-China cooperation on sustainable development	07783117686-61	E3G	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	1ccb0b4ec55ebb61d0426b4eea2d433e	04/02/2015	Brussels	Janssen EMEA	37955905654-37	CELGENE	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	1db79027d2c886f3a64a8b9d6fa0b089	04/02/2015	Brussels	Pharmaceutical Industry	unregistered	Janssen Pharmaceutica	Cabinet members of Vice-President Jyrki Katainen		
Valérie Herzberg	c050f6bbe5029b6e4882168c05c80b69	03/02/2015	Brussels	EU covered bonds market	24967486965-09	EMF-ECBC	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	5bb36f909b2b13b9b428d39d7e1d1abc	03/02/2015	Brussels	Paper Industry	72279144480-58	Confederation of European Paper Industries	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	3a0497e7c497be3d223041f7022eeb2c	03/02/2015	Brussels	Investment Initiative	661245915266-39	Finnish Innovation Fund Sitra	Cabinet members of Vice-President Jyrki Katainen		
Miguel Gil Tertre	302801c07a34c631d1b7971b7c1c4076	03/02/2015	Brussels	Investment Initiative	061584915271-94	Eurasia Group Ltd	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	9bb9818286b6f7dbd96ca8a134a32023	03/02/2015	Brussels	Priorities of the new commission	339569615567-89	European Council on Foreign Relations	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	96d1be3d3c40c1ba7696a8087354ef88	03/02/2015	Brussels	ICT investments	395485815776-81	ChinaEU	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	4f9c078e2c53da0e86d535dd32b5d40b	02/02/2015	Brussels	Investment plan and sustainability	6200524920-25	Unilever	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	65ed218305203c54b50099cc52eed838	02/02/2015	Brussels	Customs Policy	1894704851-83	European Express Association	Cabinet members of Vice-President Jyrki Katainen		
Miguel Gil Tertre	202874262e305a295c49b23c366a13e3	02/02/2015	Brussels	Investment Initiative	41126912590-71	AREVA SA	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	345c280714f599fb2649d5b447654d87	30/01/2015	Brussels	Investment plan and China-EU bilateral economic relations	592343015058-67	European Union Chamber of Commerce in China	Cabinet members of Vice-President Jyrki Katainen		
Miguel Gil Tertre	5728691403c132bb48e1f79d7c0ee6de	30/01/2015	Brussels	Investment Initiative	02963738854-41	Confederación Española de Organizaciones Empresariales	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	d0ac9bdf3df7ae9b55683d18ad27466a	30/01/2015	Brussels	Investment plan	16595501800-80	Standard Chartered Bank	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	11ab61f93f4b88b4dc977bcb7f0ca4ba	29/01/2015	Brussels	Digital Single Market	366117914426-10	Amazon Europe Core SARL	Cabinet members of Vice-President Jyrki Katainen		
Juho Romakkaniemi	b441fe5ed34cf7552dd43e57bff4f613	29/01/2015	Brussels	Investment plan and economic outlook	190987114891-73	Investor AB	Cabinet members of Vice-President Jyrki Katainen		
Juho Romakkaniemi	b441fe5ed34cf7552dd43e57bff4f613	29/01/2015	Brussels	Investment plan and economic outlook	1078390517-54	Kreab Gavin Anderson	Cabinet members of Vice-President Jyrki Katainen		
Hilde Hardeman	47cabb37a38bd2cb7e1158db3f5e2f79	28/01/2015	Brussels	Investment plan	56953548578-36	EUROPEAN AUSTRALIAN BUSINESS COUNCIL	Cabinet members of Vice-President Jyrki Katainen		
Valérie Herzberg	3963e2cbb0820ae2ff327a0fada72cd4	28/01/2015	Brussels	Capital Markets Union	1771817758-48	Bundesverband der Deutschen Industrie e.V.	Cabinet members of Vice-President Jyrki Katainen		
Valérie Herzberg	3963e2cbb0820ae2ff327a0fada72cd4	28/01/2015	Brussels	Capital Markets Union	22400601191-42	Deutscher Industrie- und Handelskammertag e.V.	Cabinet members of Vice-President Jyrki Katainen		
Valérie Herzberg	3963e2cbb0820ae2ff327a0fada72cd4	28/01/2015	Brussels	Capital Markets Union	0764199368-97	Bundesverband deutscher Banken e.V.	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	40325cad0f78a95b176d9aa40a02610e	28/01/2015	Brussels	Bio economy	56039441735-48	Maa- ja metsätaloustuottajain Keskusliitto – Central Union of Agricultural Producers and Forest Owners	Cabinet members of Vice-President Jyrki Katainen		
Miguel Gil Tertre	7a0c1392d44ef468fd1577500338bd0a	28/01/2015	Brussels	Investment Initiative	814721210555-72	UNIÓN ESPAÑOLA DE ENTIDADES ASEGURADORAS Y REASEGURADORAS	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	bc0c9262715fdb361d842530eef5aeb2	28/01/2015	Brussels	Investment plan and capital market union	237922911665-25	TheCityUK	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	d8bdf0f09d9521332f19d9f4278750b3	28/01/2015	Brussels	Investment plan	013465915676-21	Abu Dhabi Investment Authority	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	6931ab0c7aa175b2f6eb45748692d92f	27/01/2015	Brussels	Education and skills	712395115155-72	Sanoma Corporation	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	4be29cf80ab9a76748787ab93488d3c4	26/01/2015	Brussels	Investment Initiative	55820581197-35	Union européenne de l'Artisanat et des petites et moyennes entreprises, aisbl	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	f747472eed5073e87159a0149023a411	26/01/2015	Brussels	Investment Initiative	3779891566-57	Hutchison Europe - Brussels Branch	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	60905a68b68d6e965c62f09e667259d1	26/01/2015	Brussels	Energy Policy	569758814806-70	LanzaTech UK Ltd	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla Edward Bannerman	d9329004697bcebb4fdac6b4bb605c59	26/01/2015	Brussels	Investment plan	55820581197-35	Union européenne de l'Artisanat et des petites et moyennes entreprises, aisbl	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	54dd03ab58df1fb427d56467d077a564	23/01/2015	Brussels	Industrial Policy	2732167674-76	Airbus Group N.V.	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	2519ce0007d3b5b5eb44e8ce95c3df86	23/01/2015	Davos, Switzerland	Investment plan	53891615036-88	Bank of America	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	a937733b27f1e28110d23946b5c00a49	23/01/2015	Davos, Switzerland	Investment plan	48714858158-06	Institute of International Finance	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	90c1a073c4a6c76b86a5955b1f662f05	23/01/2015	Davos, Switzerland	Investment plan	00919034091-89	BT Group plc	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	90c1a073c4a6c76b86a5955b1f662f05	23/01/2015	Davos, Switzerland	Investment plan	73725676990-18	Confederation of British Industry	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	cccb9c5aa98c44a0ae596caeacd9ca88	23/01/2015	Davos, Switzerland	Investment plan	0801162959-21	Microsoft Corporation	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	4a197b719f8fed1b6b7fdd7134105873	23/01/2015	Davos, Switzerland	Investment plan	090350412968-04	BANCO BILBAO VIZCAYA ARGENTARIA	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	d209b384da1e22fb5d6a8c0432221ee1	23/01/2015	Brussels	Steel industry	93038071152-83	Eurofer	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	2f86f90e69469b64065ec43f388adc6e	23/01/2015	Brussels	Circular economy package	92257198818-48	European Ferrous Recovery & Recycling Federation	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	2f86f90e69469b64065ec43f388adc6e	23/01/2015	Brussels	Circular economy package	74946923461-59	EUROMETREC	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	411fa8107c97d5938376fbda6cfe569d	22/01/2015	Brussels	Energy Policy	03501997362-71	Fortum Oyj	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	11015686584d3e0e0bf58b3d1e841213	21/01/2015	Brussels	Competitiveness of agriculture sector	1634450483-86	Landbrug & Fødevarer - Danish Agriculture and Food Council	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	11015686584d3e0e0bf58b3d1e841213	21/01/2015	Brussels	Competitiveness of agriculture sector	56039441735-48	Maa- ja metsätaloustuottajain Keskusliitto – Central Union of Agricultural Producers and Forest Owners	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	e594afe2ed3c47d7de34501ecaa872bb	21/01/2015	Brussels	Copyright	61008951870-83	C4C Coalition	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman Juho Romakkaniemi Valérie Herzberg	7dcd054121a87981d3fbb1db8f357bdf	20/01/2015	Brussels	investment plan	319148015141-55	McGraw Hill Financial, Inc.	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	121b32e05bb61788de66c085b1e50954	20/01/2015	Brussels	Industrial Policy	95574664768-90	Verband der Automobilindustrie	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	942f700c5548bad3a6166f47df00b25b	20/01/2015	Brussels	Sustainable forest industries	39671713910-36	Finnish Forest Industries Federation (Metsäteollisuus ry)	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	88788613b3a8e2ba1db06f409ddf80df	19/01/2015	Brussels	Transport Policy	501968312339-22	Emirates Airline	Cabinet members of Vice-President Jyrki Katainen		
Juho Romakkaniemi Edward Bannerman	db9e2d17345a6963c055f9c1139a2875	16/01/2015	Brussels	TTIP	329382112488-25	US Chamber of Commerce	Cabinet members of Vice-President Jyrki Katainen		
Hilde Hardeman	bcdf5a4335fd1fa6e2c7a841b3578f22	16/01/2015	Brussels	Investment Initiative; European Research Area	823693912705-83	League of European Research Universities	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	884eb6b47add9ab342487ef588b596cd	16/01/2015	Brussels	Investment plan	48714858158-06	Institute of International Finance	Cabinet members of Vice-President Jyrki Katainen		
Miguel Gil Tertre	2a16d2e9e5f427f40f62072ba534016b	15/01/2015	Brussels	Investment Initiative	927885415117-52	Vienna Economic Forum	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	23b6fa4314e95987df80cfdaf7b3366e	15/01/2015	Brussels	Industrial Policy	23527541824-60	ArcelorMittal	Cabinet members of Vice-President Jyrki Katainen		
Juho Romakkaniemi	a96e4619a91a208fcc4c3f6056a58e1f	15/01/2015	Brussels	European Fund for Strategic Investments	869453610711-72	Finnish Association of Construction Product Industries	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	75fb698b1d4e8e3230780ff0363fdd22	15/01/2015	Brussels	Digital Single Market	37937886834-69	European Magazine Media Association	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	bb9e80f3a34649c94cf56b363e543a9f	15/01/2015	Brussels	Digital Single Market	02021363105-42	Ericsson	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern Edward Bannerman	e3cd5d6283dc1a7759edce534d6a2bd2	14/01/2015	Brussels	ICT and digital industries	64270747023-20	DIGITALEUROPE	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	736c7b485cb7230d96a00d3d7fc5c48a	14/01/2015	Brussels	Construction industry	869453610711-72	Finnish Association of Construction Product Industries	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	736c7b485cb7230d96a00d3d7fc5c48a	14/01/2015	Brussels	Construction industry	970334114615-60	Miltton Networks	Cabinet members of Vice-President Jyrki Katainen		
Juho Romakkaniemi	6c1ee9613778a116b674cc3b4c12b14b	14/01/2015	Brussels	European Fund for Strategic Investments regulation and Capital Markets Union	113054111397-33	European Forum for Manufacturing	Cabinet members of Vice-President Jyrki Katainen		
Juho Romakkaniemi	5349de6d91fbcd0e02b1fff0f14551a9	14/01/2015	Brussels	Energy and climate policy	03501997362-71	Fortum Oyj	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	a87b821a3d168331eddeccb4511ba83c	14/01/2015	Brussels	Bioindustries and biotechnology	1298286943-59	EuropaBio	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	a4750706b308682f73a41848e47eedff	14/01/2015	Brussels	Energy Policy	3978240953-79	BUSINESSEUROPE	Cabinet members of Vice-President Jyrki Katainen		
Heidi Jern	0479118f96547ebbc043894c65329670	13/01/2015	Brussels	Telecom infrastructure investments	24627752238-32	European Competitive Telecommuniations Association	Cabinet members of Vice-President Jyrki Katainen		
Valérie Herzberg	1d73f1101a908a31b62f51af47bb182e	12/01/2015	Brussels	Investment initiative	79019799690-13	KfW Bankengruppe	Cabinet members of Vice-President Jyrki Katainen		
Edward Bannerman	fb8211bc40c3df60e38221d9e0852066	12/01/2015	Brussels	Investment Plan	65288482768-64	Prudential plc	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	eefc34d97989c682de745353c4324574	12/01/2015	Brussels	Energy Policy	269765512149-12	Sass Consulting AG - Communications and Strategic Relations	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	17ff0331f79b9344c01bf74f7b33f7ae	09/01/2015	Brussels	Energy Policy	88457577025-19	Euroheat & Power	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	07283f7fd240e9d2b3a4bc87167c99a2	09/01/2015	Brussels	Skills and education in labour market	803183412905-34	Eurocadres	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	79d1ed9cc074200a7d2fb0b87d42c25d	08/01/2015	Brussels	SMEs and transport	53638476328-19	Finnish Transport and Logistics	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	79d1ed9cc074200a7d2fb0b87d42c25d	08/01/2015	Brussels	SMEs and transport	53638476328-19	Finnish Transport and Logistics	Cabinet members of Vice-President Jyrki Katainen		
Aura Salla	a3671e73c738ecab162da7bb9c8c6dd2	08/01/2015	Brussels	Industrial policy	3978240953-79	BUSINESSEUROPE	Cabinet members of Vice-President Jyrki Katainen		
Miguel Gil Tertre	989e50648503d4f3afb2e5dce7f76000	07/01/2015	Brussels	Investment Initiative	208351410839-33	Indra	Cabinet members of Vice-President Jyrki Katainen		
Grzegorz Radziejewski	80f243fb5b04d5ddc3ed20824006e321	07/01/2015	Brussels	Investment Initiative	035366013790-68	Koninklijke Philips	Cabinet members of Vice-President Jyrki Katainen		
Miguel Gil Tertre	de60e7ed6c4afb106cc5b4e7b7bc655e	19/12/2014	Brussels	Investment Initiative	36682861898-97	Telecom Italia	Cabinet members of Vice-President Jyrki Katainen		
