RecordId,MeetingId,department,minister,policy_level,portfolio,date,organisation,organisation_alias,organisation_type,purpose
152,37,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Intel,Intel,Companies and groups,To discuss technology and innovation
153,38,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,UK Spectrum Policy Forum,UK Spectrum Policy Forum,NGO,To discuss technology and innovation
154,39,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,University of Bristol,University of Bristol,Academic institutions,To discuss science and research
155,39,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,University of Southampton,University of Southampton,Academic institutions,To discuss science and research
156,39,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Mott Macdonald,Mott Macdonald,Companies and groups,To discuss science and research
157,40,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Higher Education Academy,Higher Education Academy,Academic institutions,To discuss higher education
158,41,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Harvard University,Harvard University,Academic institutions,To discuss higher education
159,42,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,The Business Services Association,The Business Services Association,Think tanks,To discuss technology and innovation
160,43,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,E-Infrastructure Leadership Council,E-Infrastructure Leadership Council,Municipal / state body,To discuss technology and innovation
161,44,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,University of Portsmouth,University of Portsmouth,Academic institutions,To discuss higher education
162,45,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,AstraZeneca,AstraZeneca,Companies and groups,To discuss life sciences
163,46,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,University of Manchester,University of Manchester,Academic institutions,To discuss science and research
164,47,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Pfizer,Pfizer,Companies and groups,To discuss science and research
165,48,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,AstraZeneca,AstraZeneca,Companies and groups,To discuss science and research
166,49,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Barclays,Barclays,Companies and groups,To discuss higher education
167,49,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Rothschild,Rothschild,Companies and groups,To discuss higher education
168,50,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Evercore Partners International,Evercore Partners International,Companies and groups,To discuss innovation and technology
169,51,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Jaguar Land Rover,Jaguar Land Rover,Companies and groups,To discuss innovation and technology
170,52,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Pfizer,Pfizer,Companies and groups,To discuss science and research
171,53,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Alacrity Foundation,Alacrity Foundation,NGO,To discuss higher education
172,54,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,Universities UK,Universities UK,Academic institutions,To discuss higher education
173,55,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/04/2014,AstraZeneca,AstraZeneca,Companies and groups,To discuss science and research
174,56,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Huawei,Huawei,Companies and groups,To discuss innovation and technology
175,57,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Velcourt,Velcourt Farm Management,Companies and groups,To discuss Agri-Tech
176,58,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Research Sector Transparency Board,Research Sector Transparency Board,Municipal / state body,To discuss science and research
177,59,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,AstraZeneca,AstraZeneca,Companies and groups,To discuss life sciences
178,60,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Who Cares Trust,Who Cares Trust,NGO,To discuss higher education
179,60,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Care Leavers Association,Care Leavers Association,NGO,To discuss higher education
180,60,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Arsenal FC,Arsenal FC,Companies and groups,To discuss higher education
181,60,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Centre for Social Justice,Centre for Social Justice,Think tanks,To discuss higher education
182,60,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Tomorrowﾒs People,Tomorrowﾒs People,NGO,To discuss higher education
183,60,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,National Care Advisory Service-Catch 22,National Care Advisory Service-Catch 22,NGO,To discuss higher education
184,60,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,University of York,University of York,Academic institutions,To discuss higher education
185,60,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Teesside University,Teesside University,Academic institutions,To discuss higher education
186,60,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,SPEAR,SPEAR,NGO,To discuss higher education
187,60,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Buttle UK,Buttle UK,NGO,To discuss higher education
188,60,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Justice for Families,Justice for Families,NGO,To discuss higher education
189,60,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Whistler Walk Residential Unit,Whistler Walk Residential Unit,Companies and groups,To discuss higher education
190,60,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,DRIVE Forward,DRIVE Forward,NGO,To discuss higher education
191,61,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Chelmsford County High School,Chelmsford County High School,Companies and groups,To discuss higher education
192,62,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Society of Biology,Society of Biology,Trade association,To discuss STEM
193,62,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Joint Mathematical Council,Joint Mathematical Council,NGO,To discuss STEM
194,62,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Royal Society of Chemistry,Royal Society of Chemistry,NGO,To discuss STEM
195,62,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Higher Education Academy,Higher Education Academy,Academic institutions,To discuss STEM
196,62,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Gatsby Charitable Foundation,Gatsby Charitable Foundation,NGO,To discuss STEM
197,62,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Wellcome Trust,Wellcome Trust,NGO,To discuss STEM
198,62,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Royal Society,Royal Society,NGO,To discuss STEM
199,62,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,University UK,Universities UK,Academic institutions,To discuss STEM
200,62,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Royal Academy of Engineering,Royal Academy of Engineering,Academic institutions,To discuss STEM
201,62,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Science Council,Science Council,NGO,To discuss STEM
202,62,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Confederation of British Industry,Confederation of British Industry,Trade association,To discuss STEM
203,62,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Institute of Physics,Institute of Physics,NGO,To discuss STEM
204,62,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Advisory Committee on Mathematics Education,Advisory Committee on Mathematics Education,Municipal / state body,To discuss STEM
205,62,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,UK Forum for Computing Education,UK Forum for Computing Education,NGO,To discuss STEM
206,63,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Go On UK,Go ON UK,NGO,To discuss business
207,64,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Johnson and Johnson,Johnson and Johnson,Companies and groups,To discuss life sciences
208,65,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,AstraZeneca,AstraZeneca,Companies and groups,To discuss life sciences
209,66,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,The American International University,The American International University,Academic institutions,To discuss higher education
210,67,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Europa School UK,Europa School UK,Academic institutions,To discuss innovation
211,68,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Space Leadership Council,Space Leadership Council,Municipal / state body,To discuss space sector
212,69,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Union Chimique Belge,Union Chimique Belge,Trade union / professional body,To discuss life sciences
213,70,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Novartis,Novartis,Companies and groups,To discuss life sciences
214,71,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,University of London,University of London,Academic institutions,To discuss higher education
215,72,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Royal Academy of Engineering,Royal Academy of Engineering,Academic institutions,To discuss science and research
216,73,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Tech City UK,Tech City UK,Companies and groups,To discuss innovation
217,73,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Connected Digital Economy Catapult,Connected Digital Economy Catapult,Companies and groups,To discuss innovation
218,73,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/05/2014,Open Data Institute,Open Data Institute,NGO,To discuss innovation
219,74,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,EC Harris,EC Harris,Professional consultants,To discuss higher education
220,75,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,David Abraham,David Abraham,Individual,To discuss science and innovation
221,75,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Daniel Brooke,Daniel Brooke,Individual,To discuss science and innovation
222,75,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Channel 4,Channel 4,Companies and groups,To discuss science and innovation
223,76,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Green Templeton College,Green Templeton College,Academic institutions,To discuss higher education
224,77,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Barclays,Barclays,Companies and groups,To discuss higher education
225,77,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Rothschild,Rothschild,Companies and groups,To discuss higher education
226,78,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Robert Gordon University,Robert Gordon University,Academic institutions,To discuss science and research
227,79,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Thales UK,Thales UK,Companies and groups,To discuss information economy
228,79,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Tech UK,Tech UK,Companies and groups,To discuss information economy
229,80,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Ministerial Medical Technology Strategy Group,Ministerial Medical Technology Strategy Group,Municipal / state body,To discuss medical innovation
230,81,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Spotify,Spotify,Companies and groups,To discuss innovation
231,82,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,East London Business Alliance,East London Business Alliance,Companies and groups,To discuss higher education
232,82,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Adab Trust,Adab Trust,NGO,To discuss higher education
233,82,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,University of Greenwich,University of Greenwich,Academic institutions,To discuss higher education
234,82,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,EMES State Street Bank and Trust Co,EMES State Street Bank and Trust Co,Companies and groups,To discuss higher education
235,83,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Sussex University,Sussex University,Academic institutions,To discuss research
236,84,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Supporting Professionalism in Admissions,Supporting Professionalism in Admissions,Companies and groups,To discuss higher education
237,84,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Universities and Colleges Admissions Service,Universities and Colleges Admissions Service,Companies and groups,To discuss higher education
238,84,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Higher Education Funding Council for England,Higher Education Funding Council for England,Academic institutions,To discuss higher education
239,84,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Guild Higher Education,Guild Higher Education,Academic institutions,To discuss higher education
240,84,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Universities UK,Universities UK,Academic institutions,To discuss higher education
241,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Siemens,Siemens,Companies and groups,To discuss space and innovation
242,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Tata Motors,TATA Limited,Companies and groups,To discuss space and innovation
243,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,BP,BP,Companies and groups,To discuss space and innovation
244,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Airbus,Airbus,Companies and groups,To discuss space and innovation
245,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Toyota,Toyota,Companies and groups,To discuss space and innovation
246,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Infineum,Infineum,Companies and groups,To discuss space and innovation
247,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Rolls Royce,Rolls Royce,Companies and groups,To discuss space and innovation
248,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Lockheed Martin,Lockheed Martin,Companies and groups,To discuss space and innovation
249,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Johnson Matthey,Johnson Matthey,Companies and groups,To discuss space and innovation
250,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Oxford Instruments,Oxford Instruments,Companies and groups,To discuss space and innovation
251,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,University of Oxford,University of Oxford,Academic institutions,To discuss space and innovation
252,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Harwell Oxford,Harwell Oxford,Academic institutions,To discuss space and innovation
253,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,University College London,University College London,Academic institutions,To discuss space and innovation
254,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Duke of York,Duke of York,Individual,To discuss space and innovation
255,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,E2V,E2V,Companies and groups,To discuss space and innovation
256,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Unilever,Unilever,Companies and groups,To discuss space and innovation
257,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,EDF,EDF,Companies and groups,To discuss space and innovation
258,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Finmeccanica,Finmeccanica,Companies and groups,To discuss space and innovation
259,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Cisco,CISCO,Companies and groups,To discuss space and innovation
260,85,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Glaxo Smith Kline,GlaxoSmithKline,Companies and groups,To discuss space and innovation
261,86,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Universities UK,Universities UK,Academic institutions,To discuss higher education
262,87,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Pearson,Pearson,Companies and groups,To discuss higher education
263,88,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,University of Sheffield,University of Sheffield,Academic institutions,To discuss higher and further education
264,88,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Aston University,Aston University,Academic institutions,To discuss higher and further education
265,88,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Guild Higher Education,Guild Higher Education,Academic institutions,To discuss higher and further education
266,88,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Association of Colleges,Association of Colleges,Trade association,To discuss higher and further education
267,88,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Universities UK,Universities UK,Academic institutions,To discuss higher and further education
268,88,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,City & Islington College,City & Islington College,Academic institutions,To discuss higher and further education
269,88,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Jaguar Land Rover,Jaguar Land Rover,Companies and groups,To discuss higher and further education
270,88,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,JP Morgan,JP Morgan Chase & Co.,Companies and groups,To discuss higher and further education
271,88,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Institute of Education,Institute of Education,Academic institutions,To discuss higher and further education
272,88,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Warwick University,Warwick University,Academic institutions,To discuss higher and further education
273,88,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Education & Training Foundation,Education & Training Foundation,NGO,To discuss higher and further education
274,89,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Universities Alliance,Universities Alliance,Academic institutions,To discuss higher education
275,90,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,ICAP,ICAP,Companies and groups,To discuss research and innovation
276,90,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,HSBC,HSBC,Companies and groups,To discuss research and innovation
277,90,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Jaguar Land Rover,Jaguar Land Rover,Companies and groups,To discuss research and innovation
278,90,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Jardine Matheson Group,Jardine Matheson Group,Companies and groups,To discuss research and innovation
279,90,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Diageo,Diageo,Companies and groups,To discuss research and innovation
280,90,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,ARM,ARM,Companies and groups,To discuss research and innovation
281,90,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Airbus,Airbus,Companies and groups,To discuss research and innovation
282,90,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,BP,BP,Companies and groups,To discuss research and innovation
283,90,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Arup,Arup,Professional consultants,To discuss research and innovation
284,90,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Standard Life China,Standard Life,Companies and groups,To discuss research and innovation
285,90,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Standard Chartered,Standard Chartered Bank,Companies and groups,To discuss research and innovation
286,90,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Zaha Hadid Architects,Zaha Hadid Architects,Companies and groups,To discuss research and innovation
287,90,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Swire,Swire Group,Companies and groups,To discuss research and innovation
288,90,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Shell,Shell,Companies and groups,To discuss research and innovation
289,90,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Pinewood,Pinewood Studios,Companies and groups,To discuss research and innovation
290,90,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,McLaren,McLaren Automotive Group,Companies and groups,To discuss research and innovation
291,90,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Rolls-Royce,Rolls Royce,Companies and groups,To discuss research and innovation
292,90,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Rio Tinto,Rio Tinto,Companies and groups,To discuss research and innovation
293,91,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Nest Labs,Nest Labs,Companies and groups,To discuss innovation
294,92,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,University of Kent,University of Kent,Academic institutions,To discuss research
295,92,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,University of Warwick,University of Warwick,Academic institutions,To discuss research
296,92,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,University of London,University of London,Academic institutions,To discuss research
297,92,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,University of Sussex,University of Sussex,Academic institutions,To discuss research
298,92,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,University of Sheffield,University of Sheffield,Academic institutions,To discuss research
299,92,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Medical Research Council,Medical Research Council,Academic institutions,To discuss research
300,92,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Higher Education Funding Council for England,Higher Education Funding Council for England,Academic institutions,To discuss research
301,92,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,London School of Economics & Political Science,London School of Economics & Political Science,Academic institutions,To discuss research
302,92,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Imperial College London,Imperial College London,Academic institutions,To discuss research
303,92,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,University of Wolverhampton,University of Wolverhampton,Academic institutions,To discuss research
304,93,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Procter & Gamble,Procter & Gamble,Companies and groups,To discuss research
305,93,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,University of Leeds,University of Leeds,Academic institutions,To discuss research
306,94,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,London Health Commission,London Health Commission,NGO,To discuss research
307,95,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,East Malling Trust,East Malling Trust,Academic institutions,To discuss agri-tech
308,96,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Space Science & Exploration Trust,Space Science & Exploration Trust,NGO,To discuss space
309,97,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Higher Education Funding Council for England,Higher Education Funding Council for England,Academic institutions,To discuss higher education
310,97,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Science Community Representing Education,Science Community Representing Education,NGO,To discuss higher education
311,97,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Royal Society of Chemistry,Royal Society of Chemistry,NGO,To discuss higher education
312,97,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Institute of Physics,Institute of Physics,NGO,To discuss higher education
313,98,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,HSBC,HSBC,Companies and groups,To discuss higher education
314,98,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Financial Conduct Authority,Financial Conduct Authority,NGO,To discuss higher education
315,98,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Higher Education Funding Council for England,Higher Education Funding Council for England,Academic institutions,To discuss higher education
316,98,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Metro Bank,Metro Bank,Companies and groups,To discuss higher education
317,98,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Barclays,Barclays,Companies and groups,To discuss higher education
318,98,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Santander,Santander,Companies and groups,To discuss higher education
