Nr,Name,country,Political_group,Party,Institution,mandate,post_mandate_activities,category_pie,category_bar,Brussels_lobbying,Number_activities,Link_source,Link_profile,On_JTR,Link_JTR,Comments,party2,Description,Paid or unpaid (a blank entry means it is not clear),Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents"
76,José Manuel Barroso,Portugal,EPP,Social Democratic Party,European Commission,President of the European Commission,Honorary Co-President of the European Centre for Culture ,Academia,University,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2108-EN-F1-1.Pdf,,No,,,,noted not authorised,unpaid,,,- ,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2108-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1694/response/6137/attach/3/annexes.Democratic Partyf + http://www.asktheeu.org/en/request/1596/response/5903/attach/3/annexes.Democratic Partyf
77,José Manuel Barroso,Portugal,EPP,Social Democratic Party,European Commission,President of the European Commission,Honorary Professor at the Macao Polytechnic Institute ,Academia,University,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2108-EN-F1-1.Pdf,,No,,,,noted not authorised,unpaid,,,- ,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2108-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1694/response/6137/attach/3/annexes.Democratic Partyf + http://www.asktheeu.org/en/request/1596/response/5903/attach/3/annexes.Democratic Partyf
78,José Manuel Barroso,Portugal,EPP,Social Democratic Party,European Commission,President of the European Commission,Honorary Chairman of the Honorary Committee of the European Business Summit ,NGO,NGO,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2108-EN-F1-1.Pdf,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=268958411031-65,,,noted not authorised,unpaid,,,3/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2108-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1694/response/6137/attach/3/annexes.Democratic Partyf + http://www.asktheeu.org/en/request/1596/response/5903/attach/3/annexes.Democratic Partyf
79,José Manuel Barroso,Portugal,EPP,Social Democratic Party,European Commission,President of the European Commission,Member of the Advisory Board of Women in Parliament,NGO,NGO,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2108-EN-F1-1.Pdf,,No,,,,,unpaid,,,3/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2108-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1694/response/6137/attach/3/annexes.Democratic Partyf + http://www.asktheeu.org/en/request/1596/response/5903/attach/3/annexes.Democratic Partyf
80,José Manuel Barroso,Portugal,EPP,Social Democratic Party,European Commission,President of the European Commission,Member of the International Board of the Madrid Opera House ,Other,Other,no,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2108-EN-F1-1.Pdf,,No,,,,,unpaid,,,3/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2108-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1694/response/6137/attach/3/annexes.Democratic Partyf+http://www.asktheeu.org/en/request/1596/response/5903/attach/3/annexes.Democratic Partyf
81,John Dalli,Malta,EPP,Nationalist Party,European Commission,Commissioner for Health and consumer policy,Executive Chairman of Tabor Consult,Private Sector,Consultancy,,1,http://ec.europa.eu/transparency/regdoc/rep/10061/2013/EN/10061-2013-2061-EN-F1-1.Pdf,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/John_Dalli_2011.jpg/330px-John_Dalli_2011.jpg,No,,,,"“the Commission wishes to remind Mr Dalli that, according to point 1.2 of the Code of Conduct for Commissioners, a former Commissioner shall not, during a period of 18 months after ceasing to hold office, lobby or advocate with the Members of the Commission and their staff on matters for which they were responsible within their portfolio and that former Commissioners are required not to disclose information of the kind covered by the obligation of professional secrecy, even after their duties ceased.",unpaid,,,2/10/2013,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2013/EN/10061-2013-2061-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/2196/response/7841/attach/3/annexes.Democratic Partyf
82,Joaquín Almunia,Spain,S&D,Spanish Socialist Workers' Party,European Commission,Commissioner for Competition,Member of the Advisory Board of the Centre for European Policy Studies,Academia,Think tank,Yes,14,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2135-EN-F1-1.PDF,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Joaquin_Almunia_Mercosul.jpg/330px-Joaquin_Almunia_Mercosul.jpg,No,,,,provided that for eighteen months after leaving his post at the Commission Mr ALMUNIA refrained from any lobbying of the Commission or its departments on behalf of the organisation in question on any matters relating to his previous portfolio ,unpaid,,,15/7/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2135-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/2172/response/7705/attach/2/Annexes.Democratic Partyf
84,Joaquín Almunia,Spain,S&D,Spanish Socialist Workers' Party,European Commission,Commissioner for Competition,Member of the Scientific Council of the Aristide Merloni Foundation,Academia,Think tank,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2165-EN-F1-1.PdF,,No,,,,"provided  that  Mr ALMUNIA  scrupulously  complied  with  his obligations  to  behave  in  all  circumstances  with  integrity  and  discretion, and  to  protect  collective  responsibility  and  the  confidentiality  of  matters dealt with by the Commission during his terms of office, laid down in the second  paragRaphael  of  Article  245  and  Article  339  TFEU  and  the  Code  of Conduct  of  Commissioners,  and  that  he  refrained  from  lobbying  the Commission  and/or  its  departments  in  favour  of  the  Aristide  Merloni Foundation  within  eighteen  months  of  leaving  office,  and  that  he  acted with discretion with regard to any experience or knowledge he may have acquired either directly or indirectly during his terms of office",?,,,20/4/2016,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2165-EN-F1-1.Democratic PartyF,
85,Joaquín Almunia,Spain,S&D,Spanish Socialist Workers' Party,European Commission,Commissioner for Competition,Member of the Scientific Committee at the European House – Ambrosetti,Academia,Think tank,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2135-EN-F1-1.PDF,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=625244214975-24,,,"provided that Mr ALMUNIA: (i) avoided any conflict of interests by refraining from any activity, such as lobbying, that might favour the commercial interests of the companies involved, and in particular ENEL, and by demonstrating an appropriate degree of tact regarding his experience and knowledge gained directly or indirectly during his term of office as Member of the Commission responsible for competition",paid  ,,,15/7/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2135-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/2172/response/7705/attach/2/Annexes.Democratic Partyf
86,Joaquín Almunia,Spain,S&D,Spanish Socialist Workers' Party,European Commission,Commissioner for Competition,Contract with the Thinking Heads Group to manage participation in conferences and events ,Other,Other,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.PDF,,No,,,,"provided that Mr ALMUNIA complied with his obligations under Articles 245 and 339 TFEU and the Code of Conduct for Commissioners, in particular with regard to protection of collective responsibility and the confidentiality of matters handled by the Commission during his two terms of office as a Member of the Commission, and provided that he refused any specific activity that could conflict with these obligations; ",paid  ,,,18/2/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1999/response/7031/attach/2/annexe%202.Democratic Partyf
87,Joaquín Almunia,Spain,S&D,Spanish Socialist Workers' Party,European Commission,Commissioner for Competition,Correspondent Member of the Competence Center of European and International Law at the University of St. Gallen (Switzerland),Academia,University,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.PDF,,No,,,,,unpaid,,,18/2/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1999/response/7031/attach/2/annexe%202.Democratic Partyf
88,Joaquín Almunia,Spain,S&D,Spanish Socialist Workers' Party,European Commission,Commissioner for Competition,Member of the Advisory Board of Notre Europe-Jacques Delors Institute,Academia,Think tank,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.PDF,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=726109217329-25,,,"provided that Mr ALMUNIA refrained from lobbying the Commission and/or its departments on all matters relating to his portfolio on behalf of the bodies mentioned above and/or in the interests of Others bodies that they might wish to promote, during the 18 months after he left office; ",unpaid,,,18/2/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1999/response/7031/attach/2/annexe%202.Democratic Partyf
89,Joaquín Almunia,Spain,S&D,Spanish Socialist Workers' Party,European Commission,Commissioner for Competition,Member of the Advisory Board of the Centre for European Reform,Academia,Think tank,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.PDF,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=524976815651-12,,,"provided that Mr ALMUNIA refrained from lobbying the Commission and/or its departments on all matters relating to his portfolio on behalf of the bodies mentioned above and/or in the interests of Others bodies that they might wish to promote, during the 18 months after he left office; ",unpaid,,,18/2/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1999/response/7031/attach/2/annexe%202.Democratic Partyf
90,Joaquín Almunia,Spain,S&D,Spanish Socialist Workers' Party,European Commission,Commissioner for Competition,Member of the Advisory Board of the European Policy Centre,Academia,Think tank,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.PDF,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=89632641000-47,,,"provided that Mr ALMUNIA refrained from lobbying the Commission and/or its departments on all matters relating to his portfolio on behalf of the bodies mentioned above and/or in the interests of Others bodies that they might wish to promote, during the 18 months after he left office; ",unpaid,,,18/2/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1999/response/7031/attach/2/annexe%202.Democratic Partyf
91,Joaquín Almunia,Spain,S&D,Spanish Socialist Workers' Party,European Commission,Commissioner for Competition,Member of the Advisory Board of the Foundation for European Progressive Studies ,Academia,Think tank,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.PDF,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=00747188174-74,,,"provided that Mr ALMUNIA refrained from lobbying the Commission and/or its departments on all matters relating to his portfolio on behalf of the bodies mentioned above and/or in the interests of Others bodies that they might wish to promote, during the 18 months after he left office; ",unpaid,,,18/2/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1999/response/7031/attach/2/annexe%202.Democratic Partyf
92,Joaquín Almunia,Spain,S&D,Spanish Socialist Workers' Party,European Commission,Commissioner for Competition,Member of the Board of the Deusto Business School ,Academia,University,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.PDF,,No,,,,,unpaid,,,18/2/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1999/response/7031/attach/2/annexe%202.Democratic Partyf
93,Joaquín Almunia,Spain,S&D,Spanish Socialist Workers' Party,European Commission,Commissioner for Competition,Member of the Board of Trustees of Friends of Europe,Academia,Think tank,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.PDF,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=99436366768-45,,,"provided that Mr ALMUNIA refrained from lobbying the Commission and/or its departments on all matters relating to his portfolio on behalf of the bodies mentioned above and/or in the interests of Others bodies that they might wish to promote, during the 18 months after he left office; ",unpaid,,,18/2/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1999/response/7031/attach/2/annexe%202.Democratic Partyf
94,Joaquín Almunia,Spain,S&D,Spanish Socialist Workers' Party,European Commission,Commissioner for Competition,Member of the European Academies' Science Advisory Council ,Academia,University,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.PDF,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=133236011647-58,,,,unpaid,,,18/2/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1999/response/7031/attach/2/annexe%202.Democratic Partyf
95,Joaquín Almunia,Spain,S&D,Spanish Socialist Workers' Party,European Commission,Commissioner for Competition,Visiting Fellow at the Minda de Gunzburg Center for European Studies at Harvard University ,Academia,University,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.PDF,,No,,,,,unpaid,,,18/2/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1999/response/7031/attach/2/annexe%202.Democratic Partyf
96,Joaquín Almunia,Spain,S&D,Spanish Socialist Workers' Party,European Commission,Commissioner for Competition,Visiting Professor in Practice at the European Institute of the London School of Economics ,Academia,University,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.PDF,,No,,,,,unpaid,,,18/2/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2116-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1999/response/7031/attach/2/annexe%202.Democratic Partyf
97,Janusz Lewandowski,Poland,EPP,Civic Platform,European Commission,Commissioner for Financial Programming and Budget,MEP,Public Service,Elected office,No,1,http://www.europarl.europa.eu/meps/en/23781/JANUSZ_LEWANDOWSKI_home.html,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Janusz_Lewandowski_Sejm_2016.JPG/330px-Janusz_Lewandowski_Sejm_2016.JPG,No,,,,No authorisation required,paid  ,,,- ,no,,
98,Janez Potocnik,Slovenia,ALDE,Liberal Democracy,European Commission,Commissioner for Environment,President of the Forum for the Future of Agriculture ,NGO,NGO,No,7,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Pdf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Janez_Poto%C4%8Dnik%2C_Strasbourg_-_Diliff.jpg/330px-Janez_Poto%C4%8Dnik%2C_Strasbourg_-_Diliff.jpg,No,,,,"providing his activities relating to organising the programme for the Forum's annual conference, the list of participants and chairing the annual conference did not include anything connected to the commercial interests of Syngenta; ",,,,10/12/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1549/response/5975/attach/6/annex%20vi.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/7/annex%20iv.Democratic Partyf
99,Janez Potocnik,Slovenia,ALDE,Liberal Democracy,European Commission,Commissioner for Environment,Member of the 'A vision for Europe towards sustainable and circular economy' Steering Committee ,Academia,Think tank,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PDF,,No,,,,"on the conditions that Mr Potocnik: (1) abides by his obligations deriving from articles 245 and 339 of the TFEU and from the Code of Conduct for Commissioners, and notably as concerns the protection of the confidentiality and the collegiality of the matters dealt with by the Commission during his three Commission mandates; and (2) refrains from lobbying the Commission and its services, in the context of his activity as Member of the Steering Committee for ""A Vision for Europe towards sustainable and circular economy""and, in more general terms, in favour of the Stiftungsfonds für Umweltökonomie und Nachhaltigkeit, the Ellen McArthur Foundation and the McKinsey Center for Business & Environment"". ",paid  ,,,15/4/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1946/response/7116/attach/8/Annexe%201.Democratic Partyf + http://www.asktheeu.org/en/request/1946/response/7116/attach/10/M%20Potocnik%20annexe%202.Democratic Partyf + http://www.asktheeu.org/en/request/1946/response/7116/attach/11/M%20Potocnik%20annexe%203.Democratic Partyf 
100,Janez Potocnik,Slovenia,ALDE,Liberal Democracy,European Commission,Commissioner for Environment,"President of the ""Long-term Vision for the Balkans Sub-region of the Mediterranean Biodiversity Hotspot"", part of the Critical Ecosystem Partnership Fund ",NGO,NGO,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PDF,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=70299514465-38,,,"on the conditions that Mr Potocnik: (1) abides by his obligations deriving from articles 245 and 339 of the TFEU and from the Code of Conduct for Commissioners, and notably as concerns the protection of the confidentiality and the collegiality of the matters dealt with by the Commission during his three Commission mandates; and (2) refrains from any lobbying vis-à-vis the Commission and its services. ",paid  ,,,15/4/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1946/response/7116/attach/10/M%20Potocnik%20annexe%202.Democratic Partyf + http://www.asktheeu.org/en/request/1946/response/7116/attach/10/M%20Potocnik%20annexe%202.Democratic Partyf + http://www.asktheeu.org/en/request/1946/response/7116/attach/11/M%20Potocnik%20annexe%203.Democratic Partyf + http://www.asktheeu.org/en/request/1946/response/7116/attach/11/M%20Potocnik%20annexe%203.Democratic Partyf
101,Janez Potocnik,Slovenia,ALDE,Liberal Democracy,European Commission,Commissioner for Environment,Ambassador for the Global Alliance on Health and Pollution ,NGO,NGO,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PDF,,No,,,,,unpaid,,,18/3/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1946/response/7116/attach/8/Annexe%201.Democratic Partyf + http://www.asktheeu.org/en/request/1946/response/7116/attach/10/M%20Potocnik%20annexe%202.Democratic Partyf
102,Janez Potocnik,Slovenia,ALDE,Liberal Democracy,European Commission,Commissioner for Environment,President of the Rural Investment Support for Europe Foundation (RISE Foundation) ,NGO,NGO,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PDF,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=653471311607-37,,,"Providing Mr Potocnik refrained from lobbying the Commission and/or its departments for eighteen months after leaving the Commission should the RISE Foundation decide to become involved in specific projects linked to the environment and ask for financial support from the European Union, and, more generally, in favour of the RISE Foundation and/or the interests of the bodies it supports; ",unpaid,,,18/3/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1946/response/7116/attach/8/Annexe%201.Democratic Partyf + http://www.asktheeu.org/en/request/1946/response/7116/attach/10/M%20Potocnik%20annexe%202.Democratic Partyf
103,Janez Potocnik,Slovenia,ALDE,Liberal Democracy,European Commission,Commissioner for Environment,Co-President of the UN International Resource Panel ,Public Service,Public sector,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Pdf,,No,,,,,,,,10/12/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1549/response/5975/attach/6/annex%20vi.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/7/annex%20iv.Democratic Partyf
104,Janez Potocnik,Slovenia,ALDE,Liberal Democracy,European Commission,Commissioner for Environment,Member of the Advisory Board of the European Policy Centre ,Academia,Think tank,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Pdf,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=89632641000-47,,,providing Mr Potocnik abstained from lobbying activities should the European Policy Centre decide to get involved in specific projects concerning the environment and ask for financing from the European Union; ,,,,10/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1549/response/5975/attach/6/annex%20vi.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/7/annex%20iv.Democratic Partyf 
105,Jacek Dominik ,Poland,EPP,Civic Platform,European Commission,Commissioner for Budget,Member of the Audit Committee of the EIB ,Public Service,Public sector,No,2,http://www.eib.org/about/governance-and-structure/statutory-bodies/audit_committee/,,No,,,,,,,,,,,
106,Jacek Dominik ,Poland,EPP,Civic Platform,European Commission,Commissioner for Budget,Counsellor General in the Ministry of Finance of Poland ,Public Service,Elected office,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2112-EN-F1-1.PDF,,No,,,,,paid  ,,,21/1/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2112-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/2134/response/7636/attach/3/Annexes.Democratic Partyf
107,Dacian Ciolos,Romania,NI ,Independent,European Commission,Commissioner for Agriculture,Prime Minister of Romania,Public Service,Elected office,No,4,http://www.politico.eu/article/former-commissioner-to-be-romanian-prime-minister/,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/EPP_Congress_2187_%288096672652%29_%28cropped%29.jpg/330px-EPP_Congress_2187_%288096672652%29_%28cropped%29.jpg,No,,,,No authorisation required,,,,11/11/2015,no,http://www.politico.eu/article/former-commissioner-to-be-romanian-prime-minister/,
108,Dacian Ciolos,Romania,NI ,Independent,European Commission,Commissioner for Agriculture,Member of the Board of Trustees of the International Food Policy Research Institute (IFPRI),Academia,Think tank,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2142-EN-F1-1.PDF,,No,,,,"""provided Mr CIOLOŞ (i) fulfilled his obligations of discretion and collective responsibility and confidentiality under Article 245 of the TFEU and Section 1.7 of the Code of Conduct for Commissioners, and (ii) refrained from lobbying the Commission and/or its departments with regard to any request by the IFPRI for financing from the European Union""",,,,14/10/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2142-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/dacian_ciolos_ifpri
109,Dacian Ciolos,Romania,NI ,Independent,European Commission,Commissioner for Agriculture,Special Adviser to Jean-Claude Juncker on International Food Security,Public Service,Public sector,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2142-EN-F1-1.PDF,,No,,,,"No authorisation required, but see this ""the activity planned by Mr CIOLOŞ as a Member of the Board of Trustees of the International Food Policy Research Institute (IFPRI) was also compatible with that as Special Adviser to the President of the Commission in the field of international food safety, provided Mr CIOLOŞ (i) took care to fulfil all the obligations imposed on Special Advisers, (ii) immediately informed the Commission should a situation arise where there was risk of conflict of interest between his post as Special Adviser to the President of the Commission and his post as Member of the Board of Trustees of the IFPRI, and(iii) was not involved in any case connected to or having an effect on the financing of the IFPRI."" ",unpaid,,,- ,no,http://europa.eu/rapid/press-release_MEX-15-5297_en.htm + http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2142-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/dacian_ciolos_ifpri
110,Dacian Ciolos,Romania,NI ,Independent,European Commission,Commissioner for Agriculture,Member of the Board of Trustees of Friends of Europe ,Academia,Think tank,Yes,,http://www.friendsofeurope.org/who-we-are/board-of-trustees/,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=99436366768-45,,,No application for authorisation made,,,,- ,no,,
111,Connie Hedegaard,Denmark,EPP,Conservative People's Party,European Commission,Commissioner for Climate action,Member of the Sustainability Council at Volkswagen AG,Private Sector ,Company and Group,Yes,8,https://www.volkswagenag.com/en/sustainability/sustainability-council.html,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Connie_Hedegaard%2C_Danmarks_miljominister_och_nordisk_samarbetsminister.jpg/330px-Connie_Hedegaard%2C_Danmarks_miljominister_och_nordisk_samarbetsminister.jpg,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=6504541970-40,,,"CH emailed COM for authorisation for this activity on 11/11/14. The ad hoc ethical committee provided its opinion on 5/12/14. CH provided further information on 22/2/15. Ad hoc ethical committee provided a further opinion on 26/2/15. Following an email from Catherine Day, on 5/3/15, CH withdraws request.",,,,- ,yes,http://www.volkswagenag.com/en/sustainability/sustainability-council.html,http://www.asktheeu.org/en/request/1691/response/6133/attach/3/RE%20Cann.Democratic Partyf + http://www.asktheeu.org/en/request/2133/response/7677/attach/3/annexes.Democratic Partyf
112,Connie Hedegaard,Denmark,EPP,Conservative People's Party,European Commission,Commissioner for Climate action,Chair of the Board of the Kann Foundation (now re-named KR Foundation),NGO,NGO,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,No,,,,"provided that she refrained from lobbying the Commission and its departments, should any of these organisations ask for financial support from the European Union ",,,,16/12/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1691/response/6133/attach/4/annexes.Democratic Partyf
113,Connie Hedegaard,Denmark,EPP,Conservative People's Party,European Commission,Commissioner for Climate action,Member of the Board of Danfoss,Private Sector ,Company and Group,No,,http://www.asktheeu.org/en/request/ex_commissioner_hedegaard,,No,,,,No authorisation required as 18 month authorisation and lobby ban has now ended,?,,,-,?,http://www.asktheeu.org/en/request/ex_commissioner_hedegaard,http://www.danfoss.com/newsstories/cf/former-eu-commissioner-for-climate-action-joins-danfoss-board/?ref=17179879870
114,Connie Hedegaard,Denmark,EPP,Conservative People's Party,European Commission,Commissioner for Climate action,Chair of the OECD Round Table for Sustainable Development ,Public Service,Public sector,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,No,,,,"provided that she refrained from lobbying the Commission and its departments, should any of these organisations ask for financial support from the European Union ",,,,16/12/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1691/response/6133/attach/4/annexes.Democratic Partyf
