Nr ,Name,Country,Political_group,Party,Institution,mandate,post_mandate_activities,category_pie ,category_bar,Brussels_lobbying,Number of Activities,Link_source,pre_mandate_activity orginal,pre_mandate_activity,Category pie,category_bar2,Link_DOI,Link_profile,party2,Description ,Paid_unpaid,Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents"
110,Dacian Ciolos,Romania,NI ,Independent,European Commission,Commissioner for Agriculture,member of the Board of Trustees of Friends of Europe ,Academia,Think tanks,Yes,,,,,,,,,,No application for authorisation made,,,,- ,no,,
111,Connie Hedegaard,Denmark,EPP,Conservative People's Party,European Commission,Commissioner for Climate action,member of the sustainability council - volkswagen ,Private Sector ,Companies and groups,Yes,7,Withdrawn before COM decision made,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Connie_Hedegaard%2C_Danmarks_miljominister_och_nordisk_samarbetsminister.jpg/330px-Connie_Hedegaard%2C_Danmarks_miljominister_och_nordisk_samarbetsminister.jpg,,"CH emailed COM for authorisation for this activity on 11/11/14. The ad hoc ethical committee provided its opinion on 5/12/14. CH provided further information on 22/2/15. Ad hoc ethical committee provided a further opinion on 26/2/15. Following an email from Catherine Day, on 5/3/15, CH withdraws request.",,,,- ,yes,http://www.volkswagenag.com/en/sustainability/sustainability-council.html,http://www.asktheeu.org/en/request/1691/response/6133/attach/3/RE%20Cann.Democratic Partyf + http://www.asktheeu.org/en/request/2133/response/7677/attach/3/annexes.Democratic Partyf
112,Connie Hedegaard,Denmark,EPP,Conservative People's Party,European Commission,Commissioner for Climate action,Chair of the board of the Kann Foundation (now re-named KR Foundation),NGOs,NGOs,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,,,,,,,"provided that she refrained from lobbying the Commission and its departments, should any of these organisations ask for financial support from the European Union ",,,,16/12/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1691/response/6133/attach/4/annexes.Democratic Partyf
113,Connie Hedegaard,Denmark,EPP,Conservative People's Party,European Commission,Commissioner for Climate action,member of the board of Danfoss,Private Sector ,Companies and groups,No,,http://www.asktheeu.org/en/request/ex_commissioner_hedegaard,,,,,,,,No authorisation required as 18 month authorisation and lobby ban has now ended,?,,,-0,?,http://www.asktheeu.org/en/request/ex_commissioner_hedegaard,http://www.danfoss.com/newsstories/cf/former-eu-commissioner-for-climate-action-joins-danfoss-board/?ref=17179879870
114,Connie Hedegaard,Denmark,EPP,Conservative People's Party,European Commission,Commissioner for Climate action,Chair of the OECD Round Table for Sustainable Development ,Elected office & public sector,Public sector,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,,,,,,,"provided that she refrained from lobbying the Commission and its departments, should any of these organisations ask for financial support from the European Union ",,,,16/12/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1691/response/6133/attach/4/annexes.Democratic Partyf
115,Connie Hedegaard,Denmark,EPP,Conservative People's Party,European Commission,Commissioner for Climate action,Co-chair of the ‘R 20’ initiative ,Private Sector ,Business association ,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,,,,,,,"provided that she refrained from lobbying the Commission and its departments, should any of these organisations ask for financial support from the European Union ",unpaid,,,16/12/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1691/response/6133/attach/4/annexes.Democratic Partyf
116,Connie Hedegaard,Denmark,EPP,Conservative People's Party,European Commission,Commissioner for Climate action,Chair of the Danish Ministry of Culture’s Public Service Committee ,Elected office & public sector,Public sector,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,,,,,,,"provided that she refrained from lobbying the Commission and its departments, should any of these organisations ask for financial support from the European Union ",,,,16/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1691/response/6133/attach/4/annexes.Democratic Partyf
117,Connie Hedegaard,Denmark,EPP,Conservative People's Party,European Commission,Commissioner for Climate action,External member of the board of Århus University + now chair (as of September 2016),Academia,Academic,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,,,,,,,"provided that she refrained from lobbying the Commission and its departments, should any of these organisations ask for financial support from the European Union ",,,,16/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1691/response/6133/attach/4/annexes.Democratic Partyf
118,Catherine Ashton,UK,S&D,Labour Party,European Commission,High Representative of the Union for Foreign Affairs and Security Policy,A member of the House of Lords,Elected office & public sector,Elected office,No,6,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PdF,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Catherine_Ashton%2C_Head_of_the_European_Defence_Agency%2C_High_Representative_of_the_Union_for_Foreign_Affairs_and_Security_Policy_%26_Vice-President_of_the_European_Commission_%2813468295505%29.jpg/330px-thumbnail.jpg,,No authorisation required,unpaid,,,- ,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1948/response/7004/attach/3/annexes.Democratic Partyf
119,Catherine Ashton,UK,S&D,Labour Party,European Commission,High Representative of the Union for Foreign Affairs and Security Policy,Academic activity at Yale University ,Academia,Academic,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2138-EN-F1-1.PdF,,,,,,,,"provided that Baroness ASHTON scrupulously fulfilled her obligations of discretion and collective responsibility and confidentiality under Articles 245 and 339 of the Treaty on the Function of the European Union (TFEU) and section 1.7 of the Code of Conduct for Commissioners, and that she refrained from lobbying the Commission and/or its departments for 18 months after leaving the Commission with regard to any request Yale University might make in order to gain support from the European Union",unpaid,,,16/9/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2138-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/2292/response/8155/attach/2/2015%205054.Democratic Partyf
120,Catherine Ashton,UK,S&D,Labour Party,European Commission,High Representative of the Union for Foreign Affairs and Security Policy,Involvement in activities of the think tank Inter Mediate ,Academia,Academic,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2138-EN-F1-1.PdF,,,,,,,,"providing Baroness ASHTON scrupulously fulfilled her obligations of discretion and collective responsibility and confidentiality under Articles 245 and 339 TFEU and section 1.7 of the Code of Conduct for Commissioners, and that she refrained from lobbying the Commission and/or its departments for 18 months after leaving the Commission with regard to any request Inter Mediatemight make in order to gain support from the European Union. ",unpaid,,,16/9/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2138-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/2292/response/8155/attach/2/2015%205054.Democratic Partyf
121,Catherine Ashton,UK,S&D,Labour Party,European Commission,High Representative of the Union for Foreign Affairs and Security Policy,Visiting Fellow at the University of Yale (New Haven) ,Academia,Academic,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PdF,,,,,,,,provided that Baroness ASHTON took care to fulfil her obligations under Articles 245 and 339 of the TFEU and Section 1.7 of the Code of Conduct for Commissioners to behave with discretion and protect collective responsibility and confidentiality; ,unpaid,,,15/4/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1948/response/7004/attach/3/annexes.Democratic Partyf
122,Catherine Ashton,UK,S&D,Labour Party,European Commission,High Representative of the Union for Foreign Affairs and Security Policy,Visiting Professor at King's College (London) in particular in the field of foreign affairs ,Academia,Academic,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PdF,,,,,,,,provided that Baroness ASHTON took care to fulfil her obligations under Articles 245 and 339 of the TFEU and Section 1.7 of the Code of Conduct for Commissioners to behave with discretion and protect collective responsibility and confidentiality; ,unpaid,,,15/4/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1948/response/7004/attach/3/annexes.Democratic Partyf
123,Catherine Ashton,UK,S&D,Labour Party,European Commission,High Representative of the Union for Foreign Affairs and Security Policy,Giving academic lectures at three universities in Boston (USA) between 3 and 7 March 2015 on the subject of relations between the European Union and the United States ,Academia,Academic,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2113-EN-F1-1.PdF,,,,,,,,on the condition that you strictly abide by your obligations of discretion and protection of collegiality and confidentiality stipulated in Articles 245 and 339 of the TFEU and in section 1.7 of the Code of Conduct for Commissioners. ,paid  ,,,28/1/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2113-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1785/response/6502/attach/3/annexes.Democratic Partyf
124,Antonio Tajani,Italy,EPP,Forza Italia - Forward Italy,European Commission,Commissioner for Industry and Entrepreneurship,MEP,Elected office & public sector,Elected office,No,1,http://www.europarl.europa.eu/meps/en/2187/ANTONIO_TAJANI_home.html,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Members_of_the_Presidency_%289290654981%29.jpg/330px-Members_of_the_Presidency_%289290654981%29.jpg,,No authorisation required,paid  ,,,- ,no,http://www.europarl.europa.eu/meps/en/2187/ANTONIO_TAJANI_home.html,
125,Androulla Vassiliou,Cyprus,ALDE,United Democrats,European Commission,"Commissioner for Education, Culture, Multilingualism and Youth",Representative of the Republic of Cyprus on the High Council of the European University Institute,Academia,Academic,No,4,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PdF,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Androulla_Vassiliou2.jpg/330px-Androulla_Vassiliou2.jpg,,,unpaid,,,18/3/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/2136/response/7678/attach/3/Annexes.Democratic Partyf + http://www.asktheeu.org/en/request/2136/response/7678/attach/4/annexes.Democratic Partyf
126,Androulla Vassiliou,Cyprus,ALDE,United Democrats,European Commission,"Commissioner for Education, Culture, Multilingualism and Youth",Member of the Board of Trustees of Friends of Europe,Academia,Think tanks,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2113-EN-F1-1.PdF,,,,,,,,"provided that Ms VASSILIOU refrained from lobbying the Commission and its departments for eighteen months after leaving the Commission should Friends of Europe decide to become involved in specific projects linked to education, culture, multilingualism and youth and ask for financial support from the European Union. ",unpaid,,,28/1/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2113-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1786/response/6585/attach/2/annexes.Democratic Partyf
127,Androulla Vassiliou,Cyprus,ALDE,United Democrats,European Commission,"Commissioner for Education, Culture, Multilingualism and Youth",President of the Board of Trustees of the Bank of Cyprus Oncology Centre,Elected office & public sector,Public sector,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2113-EN-F1-1.PdF,,,,,,,,,unpaid,,,28/1/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2113-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1786/response/6585/attach/2/annexes.Democratic Partyf
128,Androulla Vassiliou,Cyprus,ALDE,United Democrats,European Commission,"Commissioner for Education, Culture, Multilingualism and Youth",Member of the Board of Trustees of the Cyprus Research and Educational Foundation,Academia,Think tanks,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PdF,,,,,,,,"provided that Ms VASSILIOU refrained from lobbying the Commission and/or its departments for 18 months after leaving office, should the Cyprus Institute and/or the Cyprus Research and Educational Foundation decide to apply for financial support from the European Union ",unpaid,,,18/3/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/2136/response/7678/attach/3/Annexes.Democratic Partyf + http://www.asktheeu.org/en/request/2136/response/7678/attach/4/annexes.Democratic Partyf
129,Andris Piebalgs,Latvia,NI ,Independent,European Commission,Commissioner for Development,President of the Unity Party in Latvia ,Elected office & public sector,Political parties,No,6,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Andris_Piebalgs-IMG_3681.jpg/300px-Andris_Piebalgs-IMG_3681.jpg,,,,,,,,http://www.vienotiba.lv/par-mums/vienotibas-valde/,
130,Andris Piebalgs,Latvia,NI ,Independent,European Commission,Commissioner for Development,Research Fellow at the Florence School of Regulation of the European University Institute ,Academia,Academic,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2130-EN-F1-1.PdF,,,,,,,,provided Mr PIEBALGS fulfilled his obligations of discretion and collective responsibility and confidentiality under Articles 245 and 339 of the TFEU and Section 1.7 of the Code of Conduct for Commissioners. ,,,,9/6/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2130-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/2067/response/7281/attach/2/annexes.Democratic Partyf
131,Andris Piebalgs,Latvia,NI ,Independent,European Commission,Commissioner for Development,A member of the Friends of the Global Fund Europe ,Private Sector,Companies and Groups,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Pdf,,,,,,,,,unpaid,,,10/12/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1549/response/5975/attach/5/annex%20v.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/7/annex%20iv.Democratic Partyf
132,Andris Piebalgs,Latvia,NI ,Independent,European Commission,Commissioner for Development,Member of the Board of Trustees of Friends of Europe ,Academia,Think tanks,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2113-EN-F1-1.PdF,,,,,,,,provided that Mr PIEBALGS refrained from lobbying the Commission and its departments for eighteen months after leaving the Commission should Friends of Europe decide to become involved in specific projects linked to development and ask for financial support from the European Union ,,,,28/1/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2113-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1792/response/6592/attach/3/annexes%203.Democratic Partyf 
133,Andris Piebalgs,Latvia,NI ,Independent,European Commission,Commissioner for Development,Adviser to the President of Latvia ,Elected office & public sector,Public sector,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2111-EN-F1-1.Pdf,,,,,,,,,,,,13/1/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2111-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1792/response/6592/attach/3/annexes%203.Democratic Partyf
134,Andris Piebalgs,Latvia,NI ,Independent,European Commission,Commissioner for Development,Visiting professor at the University of Latvia,Academia,Academic,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Pdf,,,,,,,,,,,,10/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1549/response/5975/attach/5/annex%20v.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/7/annex%20iv.Democratic Partyf
135,Algirdas Šemeta,Lithuania,EPP,Homeland Union,European Commission,Commissioner for Taxation and customs union,"Business Ombudsman, a position created by the Memorandum of Understanding of the Anti-Corruption Initiative for Ukraine ",Elected office & public sector,Public sector,No,1,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2107-EN-F1-1.Pdf,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/78/Algirdas_%C5%A0emeta.jpg,,,,,,25/11/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2107-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1549/response/5975/attach/8/annex%20iv.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/7/annex%20iv.Democratic Partyf
136,Jonathan Hill,UK,ECR,Conservative,European Commission,"Commissioner for Financial Stability, Financial Services and Capital Markets Union",Returning to House of Lords,Elected office & public sector,Elected office,No,2,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3e/Jonathan_Hopkin_Hill%2C_Baron_Hill_of_Oareford.jpg,,,,,,,,,
137,Jonathan Hill,UK,ECR,Conservative,European Commission,"Commissioner for Financial Stability, Financial Services and Capital Markets Union",Signing with Chartwell Speakers and Literary Agency for speaking engagements at conferences ,Private Sector,Self-employed,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2183-EN-F1-1.PdF,,,,,,,,"provided that Lord Hill complied with his obligations,  under  Article  245  and  Article  339  TFEU  and  the  Code  of  Conduct  for  Commissioners,  to  protect  collective  responsibility  and  the  confidentiality of matters dealt with by the Commission during his term of office  as  a  Member  of  the  Commission,  and  that  he  refrained  from  any  engagement that could conflict with these obligations; ",,,,28/9/2016,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2183-EN-F1-1.Democratic PartyF,https://www.asktheeu.org/en/request/new_roles_of_commissioner_hill
23788,Adam BIELAN,Poland,ECR,Law and Justice,European Parliament,MEP,Deputy Speaker of the Polish Senate ,Elected office & public sector,Elected office,no,,"http://www.senat.gov.pl/en/senators/lista-senatorow/senator,896,9,adam-bielan.html",MEP (2004-2009)2MP Polish National Parliament (Sejm) (1987-2004)20 (nothing to declare)0 (nothing to declare)American Legislative Exchange Council (ALEC)0 (unremunerated)Fundacja Trino0 (unremunerated)000,"MEP (2004-2009), MP Polish National Parliament (Sejm) (1987-2004), American Legislative Exchange Council (ALEC)",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/23788_09-01-2013.pdf,,PiS,,,,,,,,
33990,Adrian SEVERIN,Romania,S&D,Social Democratic Party,European Parliament,MEP,Sentenced to 3 years of prison in 2016,Others,Prison,no,,http://www.politico.eu/article/ex-romanian-mep-jailed-over-cash-for-amendments-scandal/,"Profesor de drept al comerțului Internation la Universitatea Tito Maiorescu - București1Presedinte al Colegiului de Arbitraj Comercial de pe langa Camera de Comert si Industrie a Romaniei1Membru al Curtii de Arbitraj Comercial International de pe langa Camera Internationala de Comert de la ParisMembru al Curtii de Arbitraj Comercial de pe langa Camera de Comert si Industrie a SlovenieiMembru al Curtii de Arbitraj Comercial de pe langa Camera de Comert si Industrie a MalteiConsultant extern al Societatii civile profesionale de avocati ""Zamfirescu-Racoti-Predoiu""Profesor de drept al comerțului international la Universitatea Titu Maiorescu - București 1Profesor de drept international si constructie europeana la Universitatea din București, Facultatea de Istorie1Director Coordonator al Fundatiei ""Institutul Social-Democrat Ovidiu Sincai""Consultant International Fund for Cooperation and Partnership of the Black Sea and Caspian Sea1","Professor of international commercial law at the University Tito Maiorescu, Member the Court of International Commercial Arbitration of the International Chamber of Commerce in Paris, Consultant external civil Society, Profesor International law and European construction at the University of Bucharest, Director Coordinator of the Foundation ""Ovidiu Sincai Social Democratic Institute"", Consultant International Fund for Cooperation and Partnership of the Black Sea and Caspian Sea. ",Academia,Academic,1,,,Confirm,,,,,,,
96707,Ágnes HANKISS,Hungary,EPP,Fidesz–Hungarian Civic Union,European Parliament,MEP,Director of the Hamvas Institute of Cultural and Security studies  ,Academia,Academic,no,,http://www.hamvasintezet.hu/en/,"Institution Hamvas Béla: Director (part time). Category is marked, saying: charitly-like donations100000000000000000000Part-Time Director, Category is again marked saying: charity-like donations10000000000000000000000000000000000000000000000000000",Partu-time director of the Hamvas Bela Insitute ,NGOs,NGOs ,http://www.europarl.europa.eu/ep-dif/96707_29-03-2012.PDF,,,Not sure about this one,,,,,,,
105849,Agnès LE BRUN,France,EPP,Union for a Popular Movement,European Parliament,MEP,Regional councilor of Britanny,Elected office & public sector,Elected office,no,3,https://fr.wikipedia.org/wiki/Agn%C3%A8s_Le_Brun,Vice présidente Communauté1Marie de Marlaix1,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/105849_29-03-2012.pdf,,UMP,,,,,,,,
105849,Agnès LE BRUN,France,EPP,Union for a Popular Movement,European Parliament,MEP,Mayor of Morlaix,Elected office & public sector,Elected office,no,,https://fr.wikipedia.org/wiki/Agn%C3%A8s_Le_Brun,Vice présidente Communauté1Marie de Marlaix1,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/105849_29-03-2012.pdf,,UMP,,,,,,,,
105849,Agnès LE BRUN,France,EPP,Union for a Popular Movement,European Parliament,MEP,"Vice-President of AMF (Association of French Mayors),",Elected office & public sector,Elected office,no,,https://fr.wikipedia.org/wiki/Agn%C3%A8s_Le_Brun,Vice présidente Communauté1Marie de Marlaix1,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/105849_29-03-2012.pdf,,UMP,,,,,,,,
96652,Alajos MÉSZÁROS,Slovakia,EPP,Party of the Hungarian Coalition,European Parliament,MEP,Professor Faculty of Chemical and Food Technology. ,Academia,Academic,no,,http://www.cubcce.eu/speaker/alajos-meszaros/,,"professor of the slovakian technical university, ",Academia,Academic,http://www.europarl.europa.eu/ep-dif/96652_29-02-2012.pdf,,,,,,,,,,
96667,Alan KELLY,Ireland,S&D,Labour Party,European Parliament,MEP,He is a Teachta Dála (TD) for Tipperary,Elected office & public sector,Elected office,no,,https://goo.gl/vTvikd,Unknown,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/96667_21-01-2011.PDF,,,,,,,,,,
113487,Alda SOUSA,Portugal,GUE/NGL,Left Bloc,European Parliament,MEP,Teacher in University of Porto,Academia,Academic,no,2,https://pt.wikipedia.org/wiki/Alda_Sousa,Professora Universitaria (Universidade do Porto)2Investigadora do IBMC00Sindicato Prof. Norte0000000,Engineer renewable energy sector,Private Sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/113487_15-05-2012.pdf,,BE,,,,,,,,
113487,Alda SOUSA,Portugal,GUE/NGL,Left Bloc,European Parliament,MEP,Member of the National Board of Left Bloc,Elected office & public sector,Political parties,no,,,Professora Universitaria (Universidade do Porto)2Investigadora do IBMC00Sindicato Prof. Norte0000000,Engineer renewable energy sector,Private Sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/113487_15-05-2012.pdf,,,,,,,,,,
4337,Alejandro CERCAS,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,Unknown. Most likely retired,Others,Retired,no,,,MEP,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/4337_27-02-2012_Rev2.pdf,,PSOE,Most likely retired,,,,,,,
4308,Alejo VIDAL-QUADRAS,Spain,EPP,Popular Party,European Parliament,MEP,President of the ISJ Committee (Brussels based),NGOs,NGOs,yes ,3,https://goo.gl/TY2ufj,"Diputado Parlamento Cataluña2Senador2Patronato FAES (no remunerado)Patronato Fundación Concordia (no remunerado)Colaborador regular del grupo Intereconomía (TV, radio, Semanario Época y periódico La Gaceta)2Colaboradr regular ES RadioPatronato Fundación FAES (no remunerado)Patronato Fundación Concordia (no remunerado)Patronato Fundación DENAES (no remunerado)Consejo Editorial Grupo Intereconomía (no remunerado)Consejo European Energy Forum (no remunerado)","MP for Catalan Parliament, Regular collaborator of the group Intereconomía (TV, radio, Semanario Period and newspaper La Gaceta) Regular collaborator Radio Patronato Foundation FAES ,Foundation Concordia, Board of Directors DENAES Foundation, Member of the European Energy Forum Council",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/4308_12-01-2012.pdf,,PP,,,,,,,,
4308,Alejo VIDAL-QUADRAS,Spain,EPP,Popular Party,European Parliament,MEP,"President of the Concordia Foundation,",NGOs,NGOs,no,,,"Diputado Parlamento Cataluña2Senador2Patronato FAES (no remunerado)Patronato Fundación Concordia (no remunerado)Colaborador regular del grupo Intereconomía (TV, radio, Semanario Época y periódico La Gaceta)2Colaboradr regular ES RadioPatronato Fundación FAES (no remunerado)Patronato Fundación Concordia (no remunerado)Patronato Fundación DENAES (no remunerado)Consejo Editorial Grupo Intereconomía (no remunerado)Consejo European Energy Forum (no remunerado)","MP for Catalan Parliament, Regular collaborator of the group Intereconomía (TV, radio, Semanario Period and newspaper La Gaceta) Regular collaborator Radio Patronato Foundation FAES ,Foundation Concordia, Board of Directors DENAES Foundation, Member of the European Energy Forum Council",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/4308_12-01-2012.pdf,,,,,,,,,,
4308,Alejo VIDAL-QUADRAS,Spain,EPP,Popular Party,European Parliament,MEP,Columnist for Vox populi and collaborator for Onda Cero Radio ,Private Sector,Media,yes ,,,"Diputado Parlamento Cataluña2Senador2Patronato FAES (no remunerado)Patronato Fundación Concordia (no remunerado)Colaborador regular del grupo Intereconomía (TV, radio, Semanario Época y periódico La Gaceta)2Colaboradr regular ES RadioPatronato Fundación FAES (no remunerado)Patronato Fundación Concordia (no remunerado)Patronato Fundación DENAES (no remunerado)Consejo Editorial Grupo Intereconomía (no remunerado)Consejo European Energy Forum (no remunerado)","MP for Catalan Parliament, Regular collaborator of the group Intereconomía (TV, radio, Semanario Period and newspaper La Gaceta) Regular collaborator Radio Patronato Foundation FAES ,Foundation Concordia, Board of Directors DENAES Foundation, Member of the European Energy Forum Council",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/4308_12-01-2012.pdf,,,,,,,,,,
28246,Alexander ALVARO,Germany,ALDE,Free Democratic Party,European Parliament,MEP,"Self-employed Advisor for the Digital Agenda, Data Protection and EU Affairs.",Private sector,Consultancies,yes ,,https://www.linkedin.com/in/alexander-alvaro-131321a7,MEP (2004-2009)30000000,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/28246_11-01-2012_Rev2.pdf,,,https://www.thelocal.de/20140403/vp-of-parliament-charged-with-manslaughter,,,,,,,
96999,Alexander MIRSKY,Latvia,S&D,Alternative,European Parliament,MEP,Boardmembers of several org. but not possible to find due to language barrier. However will be in a film in 2015 starting his own role,Private Sector,Companies and Groups,no,,https://goo.gl/ZuGOlJ,,"PEFTHINOS Campaigns for Sustainable (2005-2009), Member of the Scientific Committee for the Award Sustainable School",NGOs,NGOs ,http://www.europarl.europa.eu/ep-dif/96999_22-03-2012.pdf,,,Check with Daniel ,,,,,,,
