host	date	location	title	guestid	guestname	cabinet
Christian Linder	11/02/2015	Brussels	Energy Union	73558824193-08	Elia System Operator SA	Cabinet members of Vice-President Maroš Šefčovič
Christian Linder	11/02/2015	Brussels	Energy Union	unregistered	EDP	Cabinet members of Vice-President Maroš Šefčovič
Christian Linder	11/02/2015	Brussels	Energy Union	96327066302-56	Statkraft	Cabinet members of Vice-President Maroš Šefčovič
Christian Linder	11/02/2015	Brussels	Energy Union	09571422185-81	Verbund AG	Cabinet members of Vice-President Maroš Šefčovič
Christian Linder	11/02/2015	Brussels	Energy Union	289810215426-07	Tennet	Cabinet members of Vice-President Maroš Šefčovič
Bernd Biervert	05/02/2015	Brussels	Presentation RWE	77608353460-77	RWE AG	Cabinet members of Vice-President Maroš Šefčovič
Manuel Szapiro Juraj Nociar	05/02/2015	Bruxelles	Energy Union	212885415901-57	Cercle des réseaux européens	Cabinet members of Vice-President Maroš Šefčovič
Peter Van Kemseke	04/02/2015	Brussels, BE	Energy Union	3394026642-58	BP p.l.c.	Cabinet members of Vice-President Maroš Šefčovič
Manuel Szapiro	04/02/2015	Brussels, BE	Energy Union	unregistered	The European House Anbrosetti	Cabinet members of Vice-President Maroš Šefčovič
Juraj Nociar Bernd Biervert	04/02/2015	Bruxelles, Berlaymont	Energy Union	622135013267-04	Gazprom	Cabinet members of Vice-President Maroš Šefčovič
Manuel Szapiro Peter Van Kemseke	03/02/2015	Brussels, BE	Energy Union	70309834043-10	Green 10	Cabinet members of Vice-President Maroš Šefčovič
Peter Van Kemseke	03/02/2015	Brussels, Be	Energy Union	unregistered	Mr Davignon, adviser of the CEO of GDF SUEZ	Cabinet members of Vice-President Maroš Šefčovič
Bernd Biervert	03/02/2015	Brussels	Bilateral with Ms Schubert	unregistered	OMV AG	Cabinet members of Vice-President Maroš Šefčovič
Christian Linder	02/02/2015	Brussels	Presentation of company and EU space policy	375050911599-57	Thales Alenia Space	Cabinet members of Vice-President Maroš Šefčovič
Christian Linder	02/02/2015	Brussels	Fuel Cells and Hydrogen, Energy Union, transport, energy storage	77659588648-75	New Energy World Industry Grouping 	Cabinet members of Vice-President Maroš Šefčovič
Christian Linder	29/01/2015	Brussels	Energy Union and Investment Plan	unregistered	Bundesverband Erneuerbarer Energien	Cabinet members of Vice-President Maroš Šefčovič
Peter Van Kemseke	28/01/2015	Brussels, BE	decarbonisation on the transport sector	64869491516-70	European Climate Foundation	Cabinet members of Vice-President Maroš Šefčovič
Bernd Biervert	28/01/2015	Brussels	Bilateral with CEO Jason Collins	56953548578-36	European Australian Business Council	Cabinet members of Vice-President Maroš Šefčovič
Juraj Nociar	28/01/2015	Brussels	Presentation related to energy topics	569758814806-70	LanzaTech	Cabinet members of Vice-President Maroš Šefčovič
Christian Linder	28/01/2015	Brussels	Presentation of the company and EU space policy	2732167674-76	Airbus	Cabinet members of Vice-President Maroš Šefčovič
Christian Linder	27/01/2015	Brussels	Presentation of company and EU Space Policy	648584214179-94	OHB	Cabinet members of Vice-President Maroš Šefčovič
Christian Linder	26/01/2015	Brussels	Energy Union, Internal Market	429600710582-32	CEZ a.s.	Cabinet members of Vice-President Maroš Šefčovič
Peter Van Kemseke	22/01/2015	Brussels, BE	Energy Union and teh local dimension	54829912208-85	European Federation of Local Energy Companies	Cabinet members of Vice-President Maroš Šefčovič
Dagmara Koska	22/01/2015	Brussels	Energy Union	87738563745-94	Central Europe Energy Partners	Cabinet members of Vice-President Maroš Šefčovič
Dagmara Koska	21/01/2015	Brussels	Energy Union	582485310717-46	ETP ZEP	Cabinet members of Vice-President Maroš Šefčovič
Dagmara Koska	21/01/2015	Brussels	Energy Union	52836621780-65	Weber Shandwick	Cabinet members of Vice-President Maroš Šefčovič
Peter Van Kemseke	21/01/2015	Brussels, BE	Energy Union priorities for the automotive sector	95574664768-90	Verband der Automobilindustrie	Cabinet members of Vice-President Maroš Šefčovič
Dagmara Koska	21/01/2015	Brussels	Energy Union	4016736872-59	General Electric	Cabinet members of Vice-President Maroš Šefčovič
Bernd Biervert	20/01/2015	Brussels	Presentation of BP and their activities on the EU market	3394026642-58	BP p.l.c.	Cabinet members of Vice-President Maroš Šefčovič
Christian Linder	16/01/2015	Brussels	Presentation of KIC InnoEnergy and impact of reductions in H2020	unregistered	KIC Inno Energy and Business Bridge Europe	Cabinet members of Vice-President Maroš Šefčovič
Peter Van Kemseke	16/01/2015	Brussels, BE	Energy Union	618254915321-39	University of Cambridge Institute for Sustainability Leadership	Cabinet members of Vice-President Maroš Šefčovič
Peter Van Kemseke	16/01/2015	Brussels, BE	Energy Union	07783117686-61	E3G	Cabinet members of Vice-President Maroš Šefčovič
Juraj Nociar	14/01/2015	Berlaymont, Brussels	Presentation of the organisation	91684615435-86	Friends of the Supergrid 	Cabinet members of Vice-President Maroš Šefčovič
Juraj Nociar Peter Van Kemseke Christian Linder	09/01/2015	Brussels, BE	Le rôle du consommateur dans l'union énergétique	9505781573-45	Bureau Européen des Unions de Consommateurs	Cabinet members of Vice-President Maroš Šefčovič
Peter Van Kemseke	09/01/2015	Brussels, BE	le rôle du biogaz dans l'union énergétique	18191445640-83	European Biogas Association	Cabinet members of Vice-President Maroš Šefčovič
Peter Van Kemseke	08/01/2015	Brussels, BE	Energy Union	11514322965-05	Energy Cities	Cabinet members of Vice-President Maroš Šefčovič
Bernd Biervert	07/01/2015	Brussels	Presentation of BDEW and their activities	20457441380-38	BDEW Bundesverband der Energie- und Wasserwirtschaft e. V.	Cabinet members of Vice-President Maroš Šefčovič
Juraj Nociar Bernd Biervert	18/12/2014	European Commission, Berlaymont	Presentation of Statoil and their activities on the EU market	4447605981-76	Statoil	Cabinet members of Vice-President Maroš Šefčovič
Christian Linder	16/12/2014	Brussels	Energy Union, Energy Efficiency, Housing and Tenants	94035285059-91	International Union of Tenants	Cabinet members of Vice-President Maroš Šefčovič
Peter Van Kemseke	12/12/2014	Berl 8/97	Energy Union	58746194306-23	BP &amp; FIPRA	Cabinet members of Vice-President Maroš Šefčovič
Peter Van Kemseke	11/12/2014	Berl 8/97	Energy Union and Climate	unregistered	UNEP (part of World Federation of United Nations Associations)	Cabinet members of Vice-President Maroš Šefčovič
Christian Linder	05/12/2014	Brussels	Presentation and discussion of Winter Outlook Report 2014/15	02207557481-49	ENTSO-E	Cabinet members of Vice-President Maroš Šefčovič
Peter Van Kemseke	04/12/2014	Berl 8/97	Energy Efficiency	07783117686-61	E3G	Cabinet members of Vice-President Maroš Šefčovič
Peter Van Kemseke	03/12/2014	Berl 8/97	renewables energy	15511499334-46	German Renewable Energy Federation	Cabinet members of Vice-President Maroš Šefčovič
Peter Van Kemseke	02/12/2014	Berl 8/97	Energy Union	33622026795-64	Bruegel	Cabinet members of Vice-President Maroš Šefčovič
Christian Linder	02/12/2014	Brussels, Belgium	Information meeting on Investment plan and its links to Energy and Transport	271912611231-56	Deutsche Bank	Cabinet members of Vice-President Maroš Šefčovič
Vice-President Valdis Dombrovskis	06/03/2015	European Commission –Brussels (Berlaymont)	Banking regulatory issues – European semester	unregistered	The German Savings Bank Association	
Vice-President Valdis Dombrovskis	04/03/2015	European Commission –Brussels (Berlaymont)	Banking regulatory issues – Capital banking structure – Financing of the economy	03094871618-32	UniCredit	
Vice-President Valdis Dombrovskis	28/01/2015	European Commission, Brussels	Strengthening the Social Dialogue at the European and national level; European Economic Governance	07595112423-87	Deutscher Gewerkschaftsbund	
Vice-President Valdis Dombrovskis	27/01/2015	European Commission - BERL	Banking Union	83370363079-88	Commerzbank AG 	
Vice-President Valdis Dombrovskis	27/01/2015	European Commission - BERL	CMU	51436554494-18	BlackRock	
Vice-President Valdis Dombrovskis	21/01/2015	Davos Congress Centre,Talstrasse 41, CH-7270 Davos, Switzerland	Eurozone macro-economic outlook and the Banking Union as it currently stands, as well as the state of the European and American economy	53891615036-88	Bank of America	
Vice-President Valdis Dombrovskis	21/01/2015	Davos Congress Centre,Talstrasse 41, CH-7270 Davos, Switzerland	Latest developments in the European market, economic growth and job creation in Europe; key policy issues such as corporate governance, information and technology, international trade, smart regulation, and tax and fiscal policy. European Investment plan.	92442218459-37	AT&amp;T, Inc.	
Vice-President Valdis Dombrovskis	16/01/2015	Brussels	Exchange of views	208901115513-06	Air Baltic Corporation AS 	
Vice-President Valdis Dombrovskis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	87564644126-75	Thomas Reynaert, UTC 	
Vice-President Valdis Dombrovskis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	5265780509-97	Stephanie Schretlen, AmCham EU	
Vice-President Valdis Dombrovskis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	175323916168-03	SAS Institute	
Vice-President Valdis Dombrovskis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	240029014014-18	Marco Comastri, President EMEA, CA Technologies	
Vice-President Valdis Dombrovskis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	91425447458-88	Patrick Deconinck, Senior Vice President, Western Europe, 3M	
Vice-President Valdis Dombrovskis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	87564644126-75	Pierre Dejoux, President, OTIS Europe, United Technologies	
Vice-President Valdis Dombrovskis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	28739192542-16	Dell Inc	
Vice-President Valdis Dombrovskis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	03717581957-02	Nigel Lewis, Vice President, EAME Distribution Services Division, Caterpillar	
Vice-President Valdis Dombrovskis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	unregistered	Cindy Miller, Cindy Miller	
Vice-President Valdis Dombrovskis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	7459401905-60	Christian Morales, Vice President and General Manager EMEA, Intel	
Vice-President Valdis Dombrovskis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	814728213659-93	Julián Nebreda, Corporate Vice President for Europe, Middle East, Africa &amp; CIS, AES	
Vice-President Valdis Dombrovskis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	676071815969-19	Dirk Ostijn, Regional Head Western Europe &amp; Chief Executive Officer for Metlife Europe Limited, Metlife	
Vice-President Valdis Dombrovskis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	55291765363-39	Eric Peeters, Vice President, Emulsions, Blend and Powders, Dow Corning	
Vice-President Valdis Dombrovskis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	99346002337-55	Peter Ryan, Senior Vice President and General Manager for HP Enterprise Group in EMEA and Managing Director for HP EMEA, Hewlett Packard	
Vice-President Valdis Dombrovskis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	34424201320-69	Mark Spelman, Global Head of Strategy, Accenture	
Vice-President Valdis Dombrovskis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	unregistered	Karl Cox, Vice President, Global Public Affairs, Oracle Cooperation	
Vice-President Valdis Dombrovskis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	7721359944-96	IBM Corporation	
Vice-President Valdis Dombrovskis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	5265780509-97	AmCham	
Karolina Leib	16/03/2015	BXL, Berlaymont	Europäisches Semester	5189667783-94	Zentralverband des Deutschen Handwerks	Cabinet members of Vice-President Valdis Dombrovskis
Karolina Leib	13/03/2015	BXL Berlaymont	Aktuelle Themen, Strukturreformen (this meeting was originally planned for 25/2/2015)	unregistered	Repräsentanz der Oesterreichischen Nationalbank bei der Ständigen Vertretung Österreichs bei der EU	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	06/03/2015	European Commission –Brussels (Berlaymont)	Capital Markets Union- European Semester	0767788931-41	Bundesverband Öffentlicher Banken Deutschlands	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	06/03/2015	European Commission –Brussels (Berlaymont)	Banking regulatory issues – European semester	unregistered	The German Savings Bank Association	Cabinet members of Vice-President Valdis Dombrovskis
Raquel Lucas Tuure Taneli Lahti	04/03/2015	European Commission, Brussels	Exchange of views on Social Dialogue issues, EMU, and Portuguese Business Priorities for Europe 2014-2019	022255314501-32	Confederação Empresarial de Portugal	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	04/03/2015	European Commission –Brussels (Berlaymont)	Banking regulatory issues – Capital banking structure – Financing of the economy	03094871618-32	UniCredit	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	04/03/2015	European Commission –Brussels (Berlaymont)	Presentation of Austrian saving banks	22115995998-08	Österreichischer Sparkassenverband 	Cabinet members of Vice-President Valdis Dombrovskis
Massimo Suardi	04/03/2015	Hotel Martin's Brussels EU	presentation of pilot study on the future of Economic and Monetary Union (Bertelsmann Stiftung und Jacques Delors Institut Berlin)	13571025706-27	Bertelsmann Stiftung 	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	03/03/2015	European Commission –Brussels (Berlaymont)	Taxation	1274604847-34	Confederation of Finnish Industries EK	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	02/03/2015	European Commission - BERL	Banking markets developments	0764199368-97	Bundesverband deutscher Banken e.V.	Cabinet members of Vice-President Valdis Dombrovskis
Karolina Leib	25/02/2015	Brussels, Berlaymont building	Aktuelle Themen, Strukturreformen	unregistered	Repräsentanz der Oesterreichischen Nationalbank bei der Ständigen Vertretung Oesterreichs bei der EU	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	24/02/2015	Brussels - Berlaymont	CMU	20884001341-42	Deutsche Börse AG	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	24/02/2015	Brussels - Berlaymont	CMU	688571314594-79	Institutional Limited Partners Association	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis	18/02/2015	Brussels, European Commission	Energy Union	99005441548-23	The European Alliance of Companies for Energy Efficiency in Buildings	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis	09/02/2015	BERL	research project on the EMU reform negotiations	580021715848-11	Radboud University Nijmegen, Faculty of Management Sciences 	Cabinet members of Vice-President Valdis Dombrovskis
Karolina Leib	05/02/2015	Brussels, Berlaymont	EU topical issues	22400601191-42	Deutscher Industrie- und Handelskammertag e.V.	Cabinet members of Vice-President Valdis Dombrovskis
Raquel Lucas	29/01/2015	Brussels, BERL	Introductory meeting	84973761187-60	EuroCommerce	Cabinet members of Vice-President Valdis Dombrovskis
Tuure Taneli Lahti	29/01/2015	Brussels	G20 Australia, VP's visit	56953548578-36	EUROPEAN AUSTRALIAN BUSINESS COUNCIL	Cabinet members of Vice-President Valdis Dombrovskis
Tuure Taneli Lahti	29/01/2015	Berl 10/021	Introductory meeting	84973761187-60	EuroCommerce	Cabinet members of Vice-President Valdis Dombrovskis
Raquel Lucas	28/01/2015	European Commission, Brussels	Strengthening the Social Dialogue at the European and national level; European Economic Governance	07595112423-87	Deutscher Gewerkschaftsbund	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	27/01/2015	European Commission - BERL	CMU	51436554494-18	BlackRock	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	27/01/2015 (Cancelled)	European Commission -BERL	CMU	51436554494-18	BlackRock	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	27/01/2015 (Cancelled)	European Commission -BERL	CMU	51436554494-18	BlackRock	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	27/01/2015 (Cancelled)	European Commission -BERL	CMU	51436554494-18	BlackRock	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	27/01/2015 (Cancelled)	European Commission - BERL	Banking Union	83370363079-88	Commerzbank AG	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	27/01/2015 (Cancelled)	European Commission - BERL	Banking Union	83370363079-88	Commerzbank AG	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	27/01/2015 (Cancelled)	European Commission - BERL	Banking Union	83370363079-88	Commerzbank AG	Cabinet members of Vice-President Valdis Dombrovskis
Raquel Lucas	27/01/2015	Brussels	New Pact for Europe	89632641000-47	European Policy Centre	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	27/01/2015	European Commission - BERL	Banking Union	83370363079-88	Commerzbank AG 	Cabinet members of Vice-President Valdis Dombrovskis
Tuure Taneli Lahti	21/01/2015	Davos Congress Centre,Talstrasse 41, CH-7270 Davos, Switzerland	Eurozone macro-economic outlook and the Banking Union as it currently stands, as well as the state of the European and American economy	53891615036-88	Bank of America	Cabinet members of Vice-President Valdis Dombrovskis
Tuure Taneli Lahti	21/01/2015	Davos Congress Centre,Talstrasse 41, CH-7270 Davos, Switzerland	Latest developments in the European market, economic growth and job creation in Europe; key policy issues such as corporate governance, information and technology, international trade, smart regulation, and tax and fiscal policy. European Investment plan.	92442218459-37	AT&amp;T, Inc.	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	14/01/2015	European Commission- Berlaymont	Occupational pensions	84476202986-17	Pensioenfederatie (Federation of the Dutch Pension Funds)	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	14/01/2015	European Commission- Berlaymont	Occupational pensions	84476202986-17	Anika Kattemölle - Federation of Dutch Pension funds	Cabinet members of Vice-President Valdis Dombrovskis
Tuure Taneli Lahti	13/01/2015	Berl 10/021	Economic situation	934237012880-23	Canino, le Conseil de Coopération Economique 	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	12/01/2015	European Commission - Berl	EU2020 and European Semester	1414929419-24	WWF European Policy Programme	Cabinet members of Vice-President Valdis Dombrovskis
Tuure Taneli Lahti	07/01/2015 (Cancelled)	Berlaymont, Brussels	Introductory meeting	84973761187-60	EuroCommerce	Cabinet members of Vice-President Valdis Dombrovskis
Raquel Lucas	18/12/2014	BERL 10/041	Homelessness	42528706153-39	FEANTSA	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	17/12/2014	Bruxelles- Euroepean Commission	CMU	65110063986-76	Association for Financial Markets in Europe	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	16/12/2014	Brussels- European Commission	CMU	041415315167-65	Managed Funds Association	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	16/12/2014	Brussels- European Commission	CMU	1078390517-54	Kreab Gavin Anderson	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	16/12/2014	Brussels- European Commission	CMU	unregistered	Leonard NG (Sidley Austin, MFA Councel)	Cabinet members of Vice-President Valdis Dombrovskis
Massimo Suardi	16/12/2014	BXL	Greeting and presentation	unregistered	Mr Dell&#039;Alba, Director of the Delegation of Cofindustria to the EU	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	87564644126-75	Thomas Reynaert, UTC 	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	5265780509-97	Stephanie Schretlen, AmCham EU	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	175323916168-03	SAS Institute	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	240029014014-18	Marco Comastri, President EMEA, CA Technologies	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	91425447458-88	Patrick Deconinck, Senior Vice President, Western Europe, 3M	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	87564644126-75	Pierre Dejoux, President, OTIS Europe, United Technologies	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	28739192542-16	Dell Inc	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	03717581957-02	Nigel Lewis, Vice President, EAME Distribution Services Division, Caterpillar	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	unregistered	Cindy Miller, Cindy Miller	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	7459401905-60	Christian Morales, Vice President and General Manager EMEA, Intel	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	814728213659-93	Julián Nebreda, Corporate Vice President for Europe, Middle East, Africa &amp; CIS, AES	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	676071815969-19	Dirk Ostijn, Regional Head Western Europe &amp; Chief Executive Officer for Metlife Europe Limited, Metlife	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	55291765363-39	Eric Peeters, Vice President, Emulsions, Blend and Powders, Dow Corning	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	99346002337-55	Peter Ryan, Senior Vice President and General Manager for HP Enterprise Group in EMEA and Managing Director for HP EMEA, Hewlett Packard	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	34424201320-69	Mark Spelman, Global Head of Strategy, Accenture	Cabinet members of Vice-President Valdis Dombrovskis
